name,model,external_weight,ridge_weight,oof_qwk,mae,feature_count,numeric_features,categorical_features,thresholds,test_distribution,submission
crossref_core,huber,0.5,0.5,0.6044443074942107,0.8436246992782679,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,crossref_found,log_crossref_reference_count,log_crossref_is_referenced_by_count,crossref_subject_count,crossref_license_count,crossref_has_abstract","venue,crossref_type","2.066530031121,2.403381014858,2.987892259418,3.300701784839","{1: 247, 2: 132, 3: 132, 4: 30, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\crossref_core_huber_w0.50_submission.csv
filtered_low_noise,huber,0.5,0.5,0.6040867685996467,0.838813151563753,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","1.965740199137,2.357301655147,2.895069917052,3.520829855311","{1: 197, 2: 171, 3: 133, 4: 53, 5: 42}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w0.50_submission.csv
filtered_low_noise,huber,0.25,0.75,0.6039626200245085,0.8668805132317562,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","2.085654672897,2.350002850356,2.839636574866,3.143040359077","{1: 234, 2: 120, 3: 144, 4: 37, 5: 61}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w0.25_submission.csv
opencitations_core,huber,0.5,0.5,0.6038755760975074,0.8516439454691259,11,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,coci_found,log_coci_citation_count",venue,"1.980795099108,2.432639658628,2.839125362491,3.282489650056","{1: 206, 2: 184, 3: 99, 4: 53, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\opencitations_core_huber_w0.50_submission.csv
source_agreement,huber,0.25,0.75,0.6038628859345535,0.8452285485164395,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,log_best_citation_count,log_citation_velocity,citation_count_mean,citation_source_count,citation_disagreement,external_found_count,best_citation_count_venue_year_pct,citation_velocity_venue_year_pct,best_reference_count_venue_year_pct",venue,"2.017129287008,2.534856857842,2.875949770551,3.221856660564","{1: 201, 2: 227, 3: 76, 4: 37, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\source_agreement_huber_w0.25_submission.csv
crossref_core,huber,0.65,0.35,0.6034719784656235,0.8440256615878108,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,crossref_found,log_crossref_reference_count,log_crossref_is_referenced_by_count,crossref_subject_count,crossref_license_count,crossref_has_abstract","venue,crossref_type","1.946940864531,2.364985638900,2.939883871594,3.442704326162","{1: 203, 2: 169, 3: 127, 4: 47, 5: 50}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\crossref_core_huber_w0.65_submission.csv
filtered_low_noise,huber,0.75,0.25,0.603321266234532,0.8492381716118684,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","1.817414552593,2.371746603792,2.978663576473,3.412310904535","{1: 164, 2: 210, 3: 133, 4: 35, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w0.75_submission.csv
filtered_low_noise,huber,0.35,0.65,0.602655807853008,0.843223736968725,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","1.954653804099,2.489264298561,2.896265822542,3.357488483399","{1: 183, 2: 229, 3: 93, 4: 41, 5: 50}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w0.35_submission.csv
semantic_scholar_core,huber,0.35,0.65,0.6025707636591274,0.8484362469927826,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,s2_found,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,influential_ratio,s2_influential_citation_count_venue_year_pct","venue,s2_source","1.969422214801,2.498854401102,2.877137792372,3.262236039170","{1: 189, 2: 222, 3: 88, 4: 43, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\semantic_scholar_core_huber_w0.35_submission.csv
semantic_scholar_core,huber,0.65,0.35,0.602377459096016,0.847233360064154,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,s2_found,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,influential_ratio,s2_influential_citation_count_venue_year_pct","venue,s2_source","2.025467990489,2.376693166211,3.017396922063,3.397402876626","{1: 232, 2: 147, 3: 133, 4: 30, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\semantic_scholar_core_huber_w0.65_submission.csv
base_no_external,huber,0.5,0.5,0.602229593511366,0.8480352846832397,9,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te",venue,"1.926552621057,2.571489418640,2.998287305423,3.260600492197","{1: 188, 2: 247, 3: 79, 4: 24, 5: 58}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\base_no_external_huber_w0.50_submission.csv
openalex_core,huber,0.35,0.65,0.602227402005493,0.8496391339214114,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,oa_fwci_venue_year_pct","venue,oa_source","2.000490396515,2.475813256496,2.862173086153,3.282522370075","{1: 208, 2: 192, 3: 98, 4: 44, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\openalex_core_huber_w0.35_submission.csv
semantic_scholar_core,huber,0.5,0.5,0.6021808836690647,0.8492381716118684,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,s2_found,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,influential_ratio,s2_influential_citation_count_venue_year_pct","venue,s2_source","1.961120683749,2.397643486892,2.962912047452,3.303203343216","{1: 198, 2: 180, 3: 130, 4: 34, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\semantic_scholar_core_huber_w0.50_submission.csv
semantic_scholar_core,huber,1.0,0.0,0.6021600797683533,0.8364073777064955,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,s2_found,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,influential_ratio,s2_influential_citation_count_venue_year_pct","venue,s2_source","1.934258797601,2.356804924360,3.063499658977,3.827392009431","{1: 222, 2: 154, 3: 135, 4: 52, 5: 33}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\semantic_scholar_core_huber_w1.00_submission.csv
openalex_core,huber,0.25,0.75,0.60189708360324,0.8584603047313553,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,oa_fwci_venue_year_pct","venue,oa_source","2.090389216510,2.357589826752,2.937349320558,3.189136629337","{1: 233, 2: 130, 3: 152, 4: 21, 5: 60}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\openalex_core_huber_w0.25_submission.csv
impact_percentiles,huber,0.25,0.75,0.6015644647319697,0.8540497193263833,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct",venue,"2.072205137327,2.488252720058,2.806598506238,3.198598549335","{1: 231, 2: 180, 3: 78, 4: 50, 5: 57}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\impact_percentiles_huber_w0.25_submission.csv
impact_percentiles,huber,0.65,0.35,0.6011524941650965,0.8287890938251804,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct",venue,"1.950168731357,2.375586474980,2.999550260268,3.793029677798","{1: 209, 2: 159, 3: 144, 4: 53, 5: 31}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\impact_percentiles_huber_w0.65_submission.csv
filtered_low_noise,huber,0.85,0.15000000000000002,0.6008852589221826,0.8604651162790697,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","1.988511103074,2.395678616222,2.946605923837,3.322110831281","{1: 233, 2: 149, 3: 115, 4: 36, 5: 63}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w0.85_submission.csv
impact_percentiles,huber,1.0,0.0,0.600499365502174,0.8424218123496391,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct",venue,"1.944479084720,2.342929344276,3.059972580935,3.707231376616","{1: 236, 2: 125, 3: 148, 4: 47, 5: 40}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\impact_percentiles_huber_w1.00_submission.csv
base_no_external,huber,0.35,0.65,0.6004875812835184,0.8516439454691259,9,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te",venue,"2.050198319835,2.559582272611,2.913725807111,3.214121981545","{1: 223, 2: 210, 3: 72, 4: 32, 5: 59}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\base_no_external_huber_w0.35_submission.csv
filtered_low_noise,huber,1.0,0.0,0.6004798058233084,0.8444266238973537,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","1.808047673202,2.522531714217,3.068873607817,3.562405971227","{1: 185, 2: 234, 3: 93, 4: 31, 5: 53}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w1.00_submission.csv
filtered_low_noise,huber,0.65,0.35,0.6003948166163416,0.8516439454691259,20,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_fwci,oa_fwci_venue_year_pct,log_s2_influential_citation_count,s2_influential_citation_count_venue_year_pct,log_citation_velocity,citation_velocity_venue_year_pct,citation_source_count","venue,oa_source","1.841469329886,2.439464909189,2.882685291727,3.364387363624","{1: 163, 2: 232, 3: 97, 4: 49, 5: 55}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\filtered_low_noise_huber_w0.65_submission.csv
base_no_external,huber,0.25,0.75,0.6002403653296549,0.8476343223736968,9,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te",venue,"2.094567957742,2.555012047049,2.949113951569,3.207807504361","{1: 236, 2: 196, 3: 82, 4: 28, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\base_no_external_huber_w0.25_submission.csv
crossref_core,huber,0.25,0.75,0.6002048755949576,0.8444266238973537,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,crossref_found,log_crossref_reference_count,log_crossref_is_referenced_by_count,crossref_subject_count,crossref_license_count,crossref_has_abstract","venue,crossref_type","2.094264762127,2.489740839815,2.890850864835,3.291561024133","{1: 239, 2: 172, 3: 95, 4: 40, 5: 50}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\crossref_core_huber_w0.25_submission.csv
opencitations_core,huber,0.35,0.65,0.6001680053026673,0.8580593424218124,11,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,coci_found,log_coci_citation_count",venue,"2.026047657752,2.311873471706,2.874725320007,3.294045239051","{1: 214, 2: 133, 3: 156, 4: 39, 5: 54}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\opencitations_core_huber_w0.35_submission.csv
impact_percentiles,huber,0.5,0.5,0.599962590881238,0.8404170008019246,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct",venue,"2.009749895389,2.480039294984,3.002204836576,3.418238057579","{1: 222, 2: 182, 3: 112, 4: 34, 5: 46}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\impact_percentiles_huber_w0.50_submission.csv
crossref_core,huber,1.0,0.0,0.5996712603423361,0.8540497193263833,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,crossref_found,log_crossref_reference_count,log_crossref_is_referenced_by_count,crossref_subject_count,crossref_license_count,crossref_has_abstract","venue,crossref_type","1.851863739041,2.431453430970,3.135590113437,3.384741662800","{1: 198, 2: 194, 3: 121, 4: 22, 5: 61}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\crossref_core_huber_w1.00_submission.csv
crossref_core,huber,0.35,0.65,0.5995367946338377,0.8616680032076984,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,crossref_found,log_crossref_reference_count,log_crossref_is_referenced_by_count,crossref_subject_count,crossref_license_count,crossref_has_abstract","venue,crossref_type","2.053700372816,2.389998493329,2.905207624195,3.201550602566","{1: 226, 2: 144, 3: 135, 4: 31, 5: 60}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\crossref_core_huber_w0.35_submission.csv
impact_percentiles,huber,0.35,0.65,0.5994181776141061,0.8303929430633521,18,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct",venue,"2.037964732347,2.515763244537,2.990201424277,3.617306896784","{1: 226, 2: 196, 3: 99, 4: 40, 5: 35}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\impact_percentiles_huber_w0.35_submission.csv
semantic_scholar_core,huber,0.25,0.75,0.5993811711785324,0.8436246992782679,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,s2_found,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,influential_ratio,s2_influential_citation_count_venue_year_pct","venue,s2_source","2.020967769212,2.566151438950,2.907106625157,3.280763468945","{1: 204, 2: 235, 3: 69, 4: 36, 5: 52}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\semantic_scholar_core_huber_w0.25_submission.csv
opencitations_core,huber,0.25,0.75,0.59908485394978,0.8708901363271853,11,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,coci_found,log_coci_citation_count",venue,"2.129522561898,2.323048754754,2.831526711378,3.176382738379","{1: 257, 2: 90, 3: 146, 4: 44, 5: 59}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\opencitations_core_huber_w0.25_submission.csv
openalex_core,huber,1.0,0.0,0.5987171371658077,0.8708901363271853,16,"ridge_score,year,title_len,author_count,has_authors,venue_te,year_te,first_surname_te,oa_found,oa_title_match_score,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,oa_fwci_venue_year_pct","venue,oa_source","1.978581110995,2.426970231386,2.994211286264,3.325531778345","{1: 240, 2: 149, 3: 107, 4: 36, 5: 64}",C:\Users\LG\Desktop\Study Material\DataMining\Assignment\outputs\feature_selection\submissions\openalex_core_huber_w1.00_submission.csv
