name,kind,weight,oof_qwk,oof_lift,oof_round_qwk,test_l1,public_changed,private_changed,thresholds,pub_dist,pri_dist,changed,improved,worsened,same,mean_delta_abs_error,risky_promotions,coreish_demotions_5_to_4
step18b_bge_m3_ridge_a300p0_w0p08,step18b_blend,0.08,0.6611655284948252,0.0009891927495102593,0.6402085231561445,0.1757533516681647,18,22,"1.915982,2.532891,3.230735,4.086933","{1: 119, 2: 69, 3: 54, 4: 35, 5: 21}","{1: 140, 2: 63, 3: 42, 4: 32, 5: 21}",123,71,52,0,0.15447154471544716,11,7
step18b_bge_m3_ridge_a1000p0_w0p08,step18b_blend,0.08,0.6610349344392304,0.0008585986939154688,0.6387542767093306,0.16176810923397367,12,19,"1.923805,2.497066,3.208030,4.044655","{1: 123, 2: 61, 3: 55, 4: 37, 5: 22}","{1: 141, 2: 58, 3: 44, 4: 32, 5: 23}",92,52,40,0,0.13043478260869565,9,4
step18b_bge_m3_ridge_a10p0_w0p10,step18b_blend,0.1,0.6610115026223966,0.0008351668770816278,0.6388857076983074,0.13548489529232577,29,25,"1.886325,2.491680,3.184036,4.055575","{1: 114, 2: 66, 3: 56, 4: 37, 5: 25}","{1: 128, 2: 71, 3: 45, 4: 31, 5: 23}",169,91,78,0,0.07692307692307693,64,9
step18b_bge_m3_ridge_a300p0_w0p10,step18b_blend,0.1,0.6609955741743505,0.0008192384290355292,0.6374159932092163,0.17239764697017812,23,26,"1.932458,2.540223,3.226799,4.056438","{1: 123, 2: 65, 3: 54, 4: 34, 5: 22}","{1: 140, 2: 62, 3: 43, 4: 31, 5: 22}",160,89,71,0,0.1125,13,6
step18b_bge_m3_ridge_a100p0_w0p02,step18b_blend,0.02,0.6608291026413862,0.0006527668960711885,0.6479176873212511,0.1517009951400139,4,4,"1.905310,2.498446,3.231429,4.082778","{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 137, 2: 62, 3: 43, 4: 33, 5: 23}",38,21,17,0,0.10526315789473684,0,1
step18b_bge_m3_ridge_a10p0_w0p02,step18b_blend,0.02,0.6606520959017641,0.00047576015644912317,0.6485347665697179,0.14555200938628546,5,2,"1.894179,2.493672,3.230196,4.083742","{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 43, 4: 33, 5: 23}",39,20,19,0,0.02564102564102564,7,0
step18b_bge_m3_ridge_a1000p0_w0p12,step18b_blend,0.12,0.6606402956534745,0.00046395990815950583,0.6346249849444482,0.1824647610641378,26,26,"1.936423,2.552103,3.208962,4.031748","{1: 124, 2: 65, 3: 53, 4: 33, 5: 23}","{1: 141, 2: 63, 3: 42, 4: 30, 5: 22}",157,88,69,0,0.12101910828025478,9,5
step18b_bge_m3_ridge_a300p0_w0p03,step18b_blend,0.03,0.6606249942101728,0.0004486584648578651,0.6480811884979663,0.1651238139319602,5,8,"1.914218,2.494289,3.216581,4.077864","{1: 125, 2: 58, 3: 57, 4: 35, 5: 23}","{1: 140, 2: 57, 3: 45, 4: 34, 5: 22}",43,24,19,0,0.11627906976744186,3,1
step18b_bge_m3_ridge_a300p0_w0p12,step18b_blend,0.12,0.660540533717399,0.0003641979720839794,0.635165537729832,0.14890771408427206,27,25,"1.923677,2.499635,3.165543,4.003942","{1: 120, 2: 65, 3: 50, 4: 38, 5: 25}","{1: 140, 2: 58, 3: 45, 4: 32, 5: 23}",144,73,71,0,0.013888888888888888,38,4
step18b_bge_m3_ridge_a30p0_w0p05,step18b_blend,0.05,0.6602578254718456,8.148972653065911e-05,0.6457755206823348,0.17575335166816466,14,18,"1.920604,2.543795,3.255790,4.110144","{1: 123, 2: 65, 3: 54, 4: 35, 5: 21}","{1: 141, 2: 62, 3: 44, 4: 29, 5: 22}",118,66,52,0,0.11864406779661017,5,7
step18b_bge_m3_ridge_a3p0_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_ridge_a10p0_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_ridge_a30p0_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_ridge_a100p0_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_ridge_a300p0_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_ridge_a1000p0_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_huber_w0p00,step18b_blend,0.0,0.660176335745315,0.0,0.6460283758616557,0.14555200938628549,0,0,"1.887214,2.492744,3.212862,4.096584","{1: 124, 2: 58, 3: 56, 4: 38, 5: 22}","{1: 135, 2: 65, 3: 42, 4: 34, 5: 22}",0,0,0,0,0.0,0,0
step18b_bge_m3_ridge_a1000p0_w0p10,step18b_blend,0.1,0.6601456355035157,-3.070024179929742e-05,0.6371128706662696,0.15226341878225866,21,20,"1.908007,2.499529,3.192635,4.003558","{1: 118, 2: 67, 3: 53, 4: 36, 5: 24}","{1: 139, 2: 60, 3: 44, 4: 31, 5: 24}",102,53,49,0,0.0392156862745098,19,1
step18b_bge_m3_ridge_a300p0_w0p02,step18b_blend,0.02,0.6596998772807854,-0.0004764584645295944,0.6468639911226188,0.1684795186299468,6,6,"1.915564,2.499166,3.232655,4.090526","{1: 126, 2: 57, 3: 58, 4: 35, 5: 22}","{1: 140, 2: 59, 3: 43, 4: 34, 5: 22}",42,22,20,0,0.047619047619047616,0,1
step18b_bge_m3_ridge_a1000p0_w0p03,step18b_blend,0.03,0.6593445355662031,-0.0008318001791118856,0.6470827242203064,0.1651238139319602,5,6,"1.915874,2.499856,3.198235,4.064142","{1: 126, 2: 57, 3: 54, 4: 38, 5: 23}","{1: 139, 2: 61, 3: 42, 4: 34, 5: 22}",41,17,24,0,-0.17073170731707318,4,0
step18b_bge_m3_ridge_a1000p0_w0p02,step18b_blend,0.02,0.659152189185072,-0.0010241465602429667,0.6467770975482434,0.14834529044202732,2,4,"1.900094,2.496205,3.208812,4.096061","{1: 124, 2: 59, 3: 54, 4: 39, 5: 22}","{1: 136, 2: 63, 3: 43, 4: 34, 5: 22}",27,12,15,0,-0.1111111111111111,3,1
step18b_bge_m3_huber_w0p05,step18b_blend,0.05,0.659091222603686,-0.0010851131416289572,0.6456532403258427,0.14555200938628546,17,17,"1.897108,2.499314,3.223791,4.078104","{1: 120, 2: 64, 3: 55, 4: 35, 5: 24}","{1: 132, 2: 66, 3: 45, 4: 32, 5: 23}",140,70,70,0,0.0,42,9
step18b_bge_m3_ridge_a10p0_w0p03,step18b_blend,0.03,0.6590382457347912,-0.0011380900105237846,0.649219492381504,0.1791090563661513,13,16,"1.917121,2.547548,3.256167,4.102729","{1: 124, 2: 65, 3: 53, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 44, 4: 28, 5: 23}",103,55,48,0,0.06796116504854369,3,3
step18b_bge_m3_ridge_a30p0_w0p12,step18b_blend,0.12,0.6589599045743905,-0.0012164311709245146,0.6342654511384302,0.1556191234802452,30,28,"1.929370,2.522602,3.212336,4.049003","{1: 122, 2: 63, 3: 53, 4: 35, 5: 25}","{1: 138, 2: 62, 3: 48, 4: 27, 5: 23}",206,106,100,0,0.02912621359223301,45,8
step18b_bge_m3_huber_w0p02,step18b_blend,0.02,0.6585437482651463,-0.0016325874801687013,0.6495654834056765,0.16904194227219152,10,11,"1.912634,2.536552,3.241845,4.084122","{1: 124, 2: 62, 3: 54, 4: 36, 5: 22}","{1: 139, 2: 64, 3: 40, 4: 32, 5: 23}",88,43,45,0,-0.022727272727272728,6,1
step18b_bge_m3_ridge_a30p0_w0p08,step18b_blend,0.08,0.6584527510298986,-0.0017235847154163375,0.639797391196063,0.17239764697017806,18,24,"1.923033,2.542828,3.244769,4.079028","{1: 120, 2: 68, 3: 53, 4: 36, 5: 21}","{1: 140, 2: 62, 3: 46, 4: 27, 5: 23}",156,81,75,0,0.038461538461538464,18,6
step18b_bge_m3_ridge_a100p0_w0p12,step18b_blend,0.12,0.6581154819347192,-0.002060853810595731,0.6345936431339363,0.1589748281782318,26,25,"1.921313,2.527517,3.211886,4.035259","{1: 119, 2: 67, 3: 51, 4: 37, 5: 24}","{1: 136, 2: 64, 3: 45, 4: 30, 5: 23}",184,98,86,0,0.06521739130434782,34,7
step18b_bge_m3_ridge_a30p0_w0p10,step18b_blend,0.1,0.6578775509039028,-0.002298784841412216,0.6370543573071328,0.16568623757420495,24,28,"1.925577,2.545269,3.231334,4.067513","{1: 121, 2: 67, 3: 51, 4: 37, 5: 22}","{1: 138, 2: 62, 3: 48, 4: 27, 5: 23}",196,102,94,0,0.04081632653061224,33,8
step18b_bge_m3_huber_w0p08,step18b_blend,0.08,0.6577475858100347,-0.0024287499352803055,0.642426565228728,0.13212919059433917,30,21,"1.886648,2.499845,3.218732,4.048025","{1: 115, 2: 64, 3: 59, 4: 34, 5: 26}","{1: 130, 2: 69, 3: 44, 4: 31, 5: 24}",222,111,111,0,0.0,70,10
step18b_bge_m3_ridge_a3p0_w0p08,step18b_blend,0.08,0.656068085711679,-0.004108250033636018,0.6407270268978347,0.17239764697017812,27,23,"1.917342,2.542939,3.228904,4.059353","{1: 120, 2: 68, 3: 50, 4: 35, 5: 25}","{1: 135, 2: 67, 3: 44, 4: 29, 5: 23}",182,89,93,0,-0.02197802197802198,37,8
step18b_bge_m3_ridge_a10p0_w0p12,step18b_blend,0.12,0.6553522494984723,-0.004824086246842718,0.6364260083895881,0.15897482817823178,34,29,"1.922982,2.529959,3.220697,4.056802","{1: 121, 2: 65, 3: 52, 4: 35, 5: 25}","{1: 136, 2: 64, 3: 47, 4: 28, 5: 23}",238,116,122,0,-0.025210084033613446,57,11
step18b_bge_m3_ridge_a3p0_w0p12,step18b_blend,0.12,0.6553228328916394,-0.004853502853675584,0.6364371538286372,0.12206207650037941,40,32,"1.898174,2.499718,3.170158,4.062804","{1: 115, 2: 63, 3: 56, 4: 39, 5: 25}","{1: 130, 2: 67, 3: 47, 4: 30, 5: 24}",256,122,134,0,-0.046875,92,12
step18b_bge_m3_huber_w0p10,step18b_blend,0.1,0.6545610796543897,-0.00561525609092528,0.6373364376500026,0.14555200938628549,38,27,"1.918805,2.499699,3.195928,4.045364","{1: 118, 2: 64, 3: 54, 4: 36, 5: 26}","{1: 135, 2: 65, 3: 43, 4: 31, 5: 24}",280,134,146,0,-0.04285714285714286,85,13
step18b_bge_m3_ridge_a3p0_w0p10,step18b_blend,0.1,0.6529012926243003,-0.007275043121014679,0.6396757039740243,0.17239764697017812,33,28,"1.913426,2.547502,3.234815,4.075643","{1: 118, 2: 70, 3: 50, 4: 35, 5: 25}","{1: 134, 2: 68, 3: 44, 4: 29, 5: 23}",230,109,121,0,-0.05217391304347826,51,10
step18b_bge_m3_huber_w0p12,step18b_blend,0.12,0.6520074762284908,-0.008168859516824223,0.6340393552648979,0.13212919059433914,47,34,"1.914688,2.498173,3.182834,4.014470","{1: 117, 2: 63, 3: 55, 4: 36, 5: 27}","{1: 132, 2: 66, 3: 46, 4: 29, 5: 25}",339,158,181,0,-0.06784660766961652,116,12
bge_m3_ridge_a1000p0,standalone,1.0,0.4772663815897036,-0.1829099541556114,0.4118584894611096,0.17575335166816464,158,143,"2.106306,2.542778,2.948968,3.462785","{1: 114, 2: 66, 3: 57, 4: 33, 5: 28}","{1: 148, 2: 63, 3: 38, 4: 37, 5: 12}",1327,420,835,72,-0.4762622456669179,324,57
bge_m3_ridge_a300p0,standalone,1.0,0.45898671916246203,-0.20118961658285295,0.41305613594775226,0.1533694289112662,157,154,"2.072874,2.561684,3.025124,3.599025","{1: 115, 2: 65, 3: 54, 4: 37, 5: 27}","{1: 143, 2: 61, 3: 51, 4: 28, 5: 15}",1370,429,857,84,-0.49343065693430654,325,45
bge_m3_ridge_a100p0,standalone,1.0,0.44217286463823957,-0.2180034711070754,0.41821036417756685,0.13323520072334671,167,163,"2.045038,2.567146,3.061469,3.700229","{1: 108, 2: 69, 3: 50, 4: 39, 5: 32}","{1: 139, 2: 60, 3: 57, 4: 26, 5: 16}",1424,434,902,88,-0.5245786516853933,324,48
bge_m3_ridge_a30p0,standalone,1.0,0.41522514277576617,-0.24495119296954881,0.4111484148117278,0.12316808662938704,175,172,"2.023789,2.605723,3.159053,3.878977","{1: 108, 2: 64, 3: 52, 4: 41, 5: 33}","{1: 138, 2: 60, 3: 58, 4: 25, 5: 17}",1467,447,926,94,-0.5494205862304021,311,44
bge_m3_ridge_a10p0,standalone,1.0,0.40280126182965303,-0.25737507391566194,0.3974268855558648,0.1287734858963526,178,172,"1.991342,2.650447,3.240661,4.015691","{1: 115, 2: 57, 3: 52, 4: 42, 5: 32}","{1: 122, 2: 83, 3: 48, 4: 29, 5: 16}",1512,474,949,89,-0.541005291005291,325,45
bge_m3_ridge_a3p0,standalone,1.0,0.375647313512254,-0.284529022233061,0.3783211778930192,0.09521643891648682,180,181,"1.964845,2.664003,3.306001,4.137405","{1: 113, 2: 54, 3: 56, 4: 43, 5: 32}","{1: 117, 2: 83, 3: 47, 4: 36, 5: 15}",1563,470,991,102,-0.580934101087652,331,46
bge_m3_huber,standalone,1.0,0.3309147377674535,-0.3292615979778615,0.33353163521205254,0.12206207650037944,191,180,"1.884170,2.685212,3.385846,4.198705","{1: 109, 2: 58, 3: 50, 4: 39, 5: 42}","{1: 114, 2: 94, 3: 37, 4: 30, 5: 23}",1625,464,1040,121,-0.6756923076923077,305,43
