c,margin_cap,conf_gap,max_rows,allow_promote_risky,allow_demote_core,oof_qwk,oof_lift_vs_step25,test_l1,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,pub_dist,pri_dist
0.5,0.04,0.08,4,False,False,0.6611038140709506,-0.00015674430828227504,0.15505669983800044,4,2,2,0.0,0,0,4,4,"{1: 125, 2: 59, 3: 58, 4: 34, 5: 22}","{1: 137, 2: 63, 3: 43, 4: 32, 5: 23}"
0.5,0.04,0.08,4,True,False,0.6611038140709506,-0.00015674430828227504,0.15505669983800044,4,2,2,0.0,0,0,4,4,"{1: 125, 2: 59, 3: 58, 4: 34, 5: 22}","{1: 137, 2: 63, 3: 43, 4: 32, 5: 23}"
0.5,0.06,0.1,4,False,False,0.6611038140709506,-0.00015674430828227504,0.15505669983800044,4,2,2,0.0,0,0,4,4,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.1,4,True,False,0.6611038140709506,-0.00015674430828227504,0.15505669983800044,4,2,2,0.0,0,0,4,4,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.1,4,False,False,0.6611038140709506,-0.00015674430828227504,0.15505669983800044,4,2,2,0.0,0,0,4,4,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.1,4,True,False,0.6611038140709506,-0.00015674430828227504,0.15505669983800044,4,2,2,0.0,0,0,4,4,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.1,4,False,False,0.6611038140709506,-0.00015674430828227504,0.15841240453598704,4,2,2,0.0,0,0,4,4,"{1: 125, 2: 60, 3: 56, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.1,4,True,False,0.6611038140709506,-0.00015674430828227504,0.15841240453598704,4,2,2,0.0,0,0,4,4,"{1: 125, 2: 60, 3: 56, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.04,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.04,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.06,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.06,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.04,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.04,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.06,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.06,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.08,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.06,0.08,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.04,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.04,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.06,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.06,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.08,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.08,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.04,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.04,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.06,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.06,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.08,4,False,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
1.0,0.08,0.08,4,True,False,0.6611038140709506,-0.00015674430828227504,0.16176810923397367,4,2,2,0.0,0,0,4,4,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 138, 2: 61, 3: 44, 4: 32, 5: 23}"
2.0,0.025,0.14,6,False,True,0.6610911044290051,-0.00016945395022782694,0.14555200938628549,6,4,2,0.3333333333333333,0,2,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 33, 5: 22}"
2.0,0.025,0.14,6,True,True,0.6610911044290051,-0.00016945395022782694,0.14555200938628549,6,4,2,0.3333333333333333,0,2,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 33, 5: 22}"
1.0,0.025,0.14,4,False,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,4,True,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,6,False,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,6,True,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,8,False,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,8,True,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,10,False,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,10,True,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,12,False,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,12,True,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,15,False,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,15,True,True,0.6610712126443992,-0.00018934573483375683,0.14555200938628549,3,2,1,0.3333333333333333,0,1,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,6,False,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,6,True,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,8,False,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,8,True,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,10,False,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,10,True,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,12,False,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,12,True,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,15,False,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,15,True,False,0.6610619976233415,-0.0001985607558914193,0.14555200938628546,5,3,2,0.2,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,4,False,False,0.6610329037894315,-0.00022765458980145148,0.14555200938628546,4,2,2,0.0,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.04,0.14,4,True,False,0.6610329037894315,-0.00022765458980145148,0.14555200938628546,4,2,2,0.0,0,0,0,1,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,4,False,False,0.6610329037894315,-0.00022765458980145148,0.14555200938628549,4,2,2,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,4,True,False,0.6610329037894315,-0.00022765458980145148,0.14555200938628549,4,2,2,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,8,False,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,8,True,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,10,False,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,10,True,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,12,False,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,12,True,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,15,False,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,15,True,False,0.6610144747695205,-0.00024608360971245524,0.14555200938628549,8,4,4,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,4,False,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,4,True,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,6,False,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,6,True,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,8,False,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,8,True,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,10,False,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,10,True,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,12,False,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,12,True,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,15,False,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.04,0.14,15,True,False,0.6610038229186055,-0.000256735460627433,0.14555200938628549,3,1,2,-0.3333333333333333,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,4,False,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,4,True,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,6,False,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,6,True,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,8,False,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,8,True,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,10,False,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,10,True,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,12,False,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,12,True,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,15,False,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.025,0.14,15,True,False,0.6609711814427814,-0.00028937693645147977,0.14555200938628549,2,1,1,0.0,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.14,4,False,False,0.6609655432674668,-0.00029501511176610595,0.14555200938628549,4,1,3,-0.5,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
0.5,0.08,0.14,4,True,False,0.6609655432674668,-0.00029501511176610595,0.14555200938628549,4,1,3,-0.5,0,0,0,0,"{1: 123, 2: 60, 3: 58, 4: 35, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,6,False,False,0.6609527457106152,-0.00030781266861767964,0.14555200938628549,6,3,3,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
1.0,0.06,0.14,6,True,False,0.6609527457106152,-0.00030781266861767964,0.14555200938628549,6,3,3,0.0,0,0,1,1,"{1: 124, 2: 59, 3: 58, 4: 35, 5: 22}","{1: 135, 2: 64, 3: 44, 4: 32, 5: 23}"
2.0,0.04,0.1,8,False,False,0.6609471182961502,-0.00031344008308276106,0.15505669983800044,8,4,4,0.0,0,0,3,4,"{1: 125, 2: 59, 3: 57, 4: 35, 5: 22}","{1: 137, 2: 63, 3: 43, 4: 32, 5: 23}"
