name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,thresholds
step18b_bge_m3_ridge_a300p0_w0p0375_l0p5,ridge_a300p0,0.0375,0.5,0.6612665146959662,0.0010901789506512216,5.956316733279898e-06,0.1757533516681647,9,18,27,1,"{1: 125, 2: 62, 3: 56, 4: 34, 5: 21}","{1: 141, 2: 63, 3: 43, 4: 30, 5: 21}",104,59,45,0.1346153846153846,0,25,12,18,0,"1.917366,2.535427,3.259063,4.108794"
step18b_bge_m3_ridge_a100p0_w0p0375_l2p0,ridge_a100p0,0.0375,2.0,0.6611392322250402,0.0009628964797252504,-0.00012132615419269133,0.17239764697017815,7,12,19,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 41, 4: 31, 5: 23}",82,48,34,0.17073170731707318,2,16,12,14,0,"1.913578,2.529450,3.244285,4.082556"
step18b_bge_m3_huber_w0p0300_l0p5,huber,0.03,0.5,0.6611234601998837,0.0009471244545686819,-0.00013709817934925983,0.1522634187822586,5,5,10,0,"{1: 122, 2: 62, 3: 56, 4: 36, 5: 22}","{1: 132, 2: 68, 3: 43, 4: 32, 5: 23}",92,49,43,0.06521739130434782,26,17,10,7,0,"1.889524,2.504653,3.242931,4.083803"
step18b_bge_m3_ridge_a100p0_w0p0375_l1p0,ridge_a100p0,0.0375,1.0,0.6611138767185851,0.0009375409732701456,-0.00014668166064779609,0.17239764697017812,7,12,19,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 40, 4: 33, 5: 22}",84,49,35,0.16666666666666666,2,16,12,12,0,"1.912931,2.531628,3.237827,4.090073"
step18b_bge_m3_ridge_a100p0_w0p0350_l0p5,ridge_a100p0,0.035,0.5,0.6610899189657728,0.0009135832204578698,-0.00017063941346007194,0.17575335166816466,7,16,23,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 43, 4: 28, 5: 23}",93,54,39,0.16129032258064516,1,21,12,18,0,"1.912009,2.533831,3.259389,4.085287"
step18b_bge_m3_ridge_a30p0_w0p0375_l4p0,ridge_a30p0,0.0375,4.0,0.6610825835621181,0.0009062478168031518,-0.0001779748171147899,0.17239764697017815,7,12,19,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 41, 4: 31, 5: 23}",89,50,39,0.12359550561797752,3,17,12,14,0,"1.918598,2.537327,3.241420,4.087217"
step18b_bge_m3_ridge_a100p0_w0p0400_l4p0,ridge_a100p0,0.04,4.0,0.6610713343461241,0.0008949986008091049,-0.00018922403310883684,0.17575335166816472,7,14,21,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 41, 4: 30, 5: 23}",96,54,42,0.125,2,19,12,16,0,"1.917327,2.537410,3.245961,4.085270"
step18b_bge_m3_ridge_a3p0_w0p0275_l0p5,ridge_a3p0,0.0275,0.5,0.6610552930944673,0.0008789573491523317,-0.00020526528476561,0.15561912348024518,5,5,10,0,"{1: 123, 2: 61, 3: 56, 4: 35, 5: 23}","{1: 135, 2: 66, 3: 43, 4: 30, 5: 24}",75,39,36,0.04,18,13,10,7,0,"1.904514,2.509639,3.237922,4.063111"
step18b_bge_m3_ridge_a300p0_w0p0400_l0p5,ridge_a300p0,0.04,0.5,0.6610358452732222,0.000859509527907254,-0.00022471310601068772,0.1723976469701781,9,13,22,1,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 40, 4: 33, 5: 22}",83,46,37,0.10843373493975904,3,14,12,13,0,"1.910323,2.530636,3.232546,4.085560"
step18b_bge_m3_ridge_a30p0_w0p0350_l2p0,ridge_a30p0,0.035,2.0,0.6610316173284575,0.0008552815831425198,-0.00022894105077542193,0.1723976469701781,6,12,18,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 41, 4: 31, 5: 23}",90,51,39,0.13333333333333333,3,18,11,14,0,"1.918165,2.540294,3.243626,4.087917"
step18b_bge_m3_ridge_a30p0_w0p0325_l0p5,ridge_a30p0,0.0325,0.5,0.6609826236838516,0.0008062879385366539,-0.0002779346953812878,0.17239764697017812,6,13,19,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 41, 4: 33, 5: 21}",96,55,41,0.14583333333333334,3,23,11,13,0,"1.914709,2.540224,3.247136,4.113292"
step18b_bge_m3_ridge_a30p0_w0p0325_l1p0,ridge_a30p0,0.0325,1.0,0.6609027069480078,0.0007263712026928104,-0.0003578514312251313,0.17910905636615124,7,13,20,0,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 40, 4: 31, 5: 23}",88,50,38,0.13636363636363635,3,18,12,15,0,"1.916227,2.544497,3.243246,4.087551"
step18b_bge_m3_ridge_a30p0_w0p0300_l1p0,ridge_a30p0,0.03,1.0,0.6608736976351919,0.0006973618898769018,-0.00038686074404103987,0.1723976469701781,6,12,18,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 41, 4: 31, 5: 23}",85,48,37,0.12941176470588237,2,17,11,14,0,"1.914853,2.535642,3.246422,4.086951"
step18b_bge_m3_ridge_a100p0_w0p0400_l0p5,ridge_a100p0,0.04,0.5,0.6608420751483768,0.0006657394030618047,-0.00041848323085613703,0.1757533516681647,7,15,22,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 40, 4: 33, 5: 21}",96,54,42,0.125,2,20,12,15,0,"1.917280,2.536326,3.243728,4.095677"
step18b_bge_m3_ridge_a1000p0_w0p0375_l0p5,ridge_a1000p0,0.0375,0.5,0.6608308057267477,0.0006544699814327037,-0.000429752652485238,0.19253187515809755,14,22,36,1,"{1: 127, 2: 64, 3: 52, 4: 33, 5: 22}","{1: 145, 2: 60, 3: 42, 4: 29, 5: 22}",128,70,58,0.09375,0,25,17,20,0,"1.935397,2.555249,3.257811,4.081680"
step18b_bge_m3_ridge_a1000p0_w0p0200_l0p5,ridge_a1000p0,0.02,0.5,0.6608253152202124,0.0006489794748973932,-0.00043524315902054855,0.1684795186299468,5,11,16,1,"{1: 126, 2: 59, 3: 56, 4: 35, 5: 22}","{1: 140, 2: 63, 3: 40, 4: 33, 5: 22}",70,38,32,0.08571428571428572,0,16,8,9,0,"1.916275,2.526324,3.240459,4.081108"
step18b_bge_m3_ridge_a30p0_w0p0400_l4p0,ridge_a30p0,0.04,4.0,0.6607973161858125,0.0006209804404975205,-0.00046324219342042117,0.1723976469701781,8,14,22,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 143, 2: 60, 3: 41, 4: 31, 5: 23}",95,52,43,0.09473684210526316,4,19,13,16,0,"1.920940,2.537303,3.242950,4.085384"
step18b_bge_m3_ridge_a300p0_w0p0325_l4p0,ridge_a300p0,0.0325,4.0,0.6607890071360989,0.0006126713907839143,-0.0004715512431340274,0.18246476106413784,8,15,23,1,"{1: 125, 2: 63, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 64, 3: 39, 4: 32, 5: 22}",97,55,42,0.13402061855670103,0,18,11,13,0,"1.916822,2.543403,3.248270,4.096459"
step18b_bge_m3_ridge_a1000p0_w0p0225_l0p5,ridge_a1000p0,0.0225,0.5,0.660760033353172,0.0005836976078570366,-0.0005005250260609051,0.1723976469701781,5,10,15,1,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 137, 2: 66, 3: 40, 4: 33, 5: 22}",66,37,29,0.12121212121212122,0,15,8,8,0,"1.901485,2.528668,3.246590,4.079736"
step18b_bge_m3_ridge_a30p0_w0p0275_l2p0,ridge_a30p0,0.0275,2.0,0.660702984008225,0.0005266482629100455,-0.0005575743710078962,0.16904194227219152,4,10,14,0,"{1: 124, 2: 62, 3: 55, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",82,46,36,0.12195121951219512,1,18,9,12,0,"1.912169,2.534973,3.245901,4.090184"
step18b_bge_m3_ridge_a100p0_w0p0325_l1p0,ridge_a100p0,0.0325,1.0,0.6606777727957285,0.0005014370504135002,-0.0005827855835044415,0.1723976469701781,8,11,19,1,"{1: 126, 2: 61, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 40, 4: 32, 5: 23}",81,45,36,0.1111111111111111,1,16,11,13,0,"1.916182,2.529533,3.238058,4.083243"
step18b_bge_m3_ridge_a10p0_w0p0400_l0p5,ridge_a10p0,0.04,0.5,0.6606532969222532,0.0004769611769381843,-0.0006072614569797574,0.1757533516681646,9,14,23,0,"{1: 123, 2: 65, 3: 54, 4: 35, 5: 21}","{1: 139, 2: 64, 3: 44, 4: 29, 5: 22}",112,63,49,0.125,7,26,14,16,0,"1.911093,2.545597,3.261293,4.106896"
step18b_bge_m3_ridge_a10p0_w0p0325_l0p5,ridge_a10p0,0.0325,0.5,0.6606456085061755,0.0004692727608605063,-0.0006149498730574354,0.17910905636615124,9,12,21,0,"{1: 123, 2: 66, 3: 53, 4: 34, 5: 22}","{1: 138, 2: 65, 3: 44, 4: 28, 5: 23}",100,56,44,0.12,5,20,14,14,0,"1.910176,2.553798,3.256305,4.090770"
step18b_bge_m3_ridge_a1000p0_w0p0125_l1p0,ridge_a1000p0,0.0125,1.0,0.6606035631727052,0.0004272274273902088,-0.0006569952065277329,0.17910905636615124,7,12,19,1,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 38, 4: 33, 5: 22}",89,49,40,0.10112359550561797,0,21,10,10,0,"1.911985,2.536093,3.248066,4.128079"
step18b_bge_m3_ridge_a30p0_w0p0375_l1p0,ridge_a30p0,0.0375,1.0,0.6605993237651446,0.00042298801982965095,-0.0006612346140882908,0.1723976469701781,7,11,18,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",87,49,38,0.12643678160919541,3,17,12,13,0,"1.915358,2.535530,3.246327,4.088694"
step18b_bge_m3_ridge_a100p0_w0p0350_l2p0,ridge_a100p0,0.035,2.0,0.6605885118252004,0.00041217607988541793,-0.0006720465540325238,0.1723976469701781,6,11,17,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 40, 4: 32, 5: 23}",89,50,39,0.12359550561797752,2,16,11,13,0,"1.913441,2.532970,3.242916,4.084174"
step18b_bge_m3_ridge_a1000p0_w0p0100_l0p5,ridge_a1000p0,0.01,0.5,0.660572522094802,0.0003961863494870155,-0.0006880362844309262,0.19253187515809755,12,18,30,1,"{1: 126, 2: 65, 3: 50, 4: 36, 5: 21}","{1: 142, 2: 63, 3: 41, 4: 30, 5: 22}",129,71,58,0.10077519379844961,0,29,15,16,0,"1.927195,2.559095,3.262895,4.129399"
step18b_bge_m3_ridge_a100p0_w0p0375_l4p0,ridge_a100p0,0.0375,4.0,0.6605662754014827,0.00038993965616773707,-0.0006942829777502046,0.17239764697017815,7,13,20,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 42, 4: 30, 5: 23}",93,52,41,0.11827956989247312,2,18,12,15,0,"1.916010,2.533143,3.247036,4.082215"
step18b_bge_m3_ridge_a30p0_w0p0300_l4p0,ridge_a30p0,0.03,4.0,0.6605557630390684,0.00037942729375339823,-0.0007047953401645435,0.1723976469701781,6,12,18,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 41, 4: 31, 5: 23}",86,48,38,0.11627906976744186,2,18,11,14,0,"1.914825,2.539877,3.247789,4.084841"
step18b_bge_m3_ridge_a30p0_w0p0325_l4p0,ridge_a30p0,0.0325,4.0,0.6605557630390684,0.00037942729375339823,-0.0007047953401645435,0.17239764697017815,7,12,19,0,"{1: 125, 2: 62, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 62, 3: 41, 4: 31, 5: 23}",86,48,38,0.11627906976744186,2,18,12,14,0,"1.917361,2.538048,3.243529,4.089290"
step18b_bge_m3_ridge_a300p0_w0p0400_l2p0,ridge_a300p0,0.04,2.0,0.6605440086653724,0.0003676729200574602,-0.0007165497138604815,0.17575335166816466,7,15,22,1,"{1: 125, 2: 62, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 64, 3: 40, 4: 32, 5: 22}",95,53,42,0.11578947368421053,1,17,10,15,0,"1.917423,2.538027,3.243317,4.082597"
step18b_bge_m3_ridge_a30p0_w0p0350_l1p0,ridge_a30p0,0.035,1.0,0.6605360469703239,0.0003597112250088852,-0.0007245114089090565,0.1824647610641378,8,11,19,0,"{1: 123, 2: 66, 3: 52, 4: 35, 5: 22}","{1: 140, 2: 64, 3: 39, 4: 32, 5: 23}",89,49,40,0.10112359550561797,4,17,13,13,0,"1.916204,2.546131,3.236418,4.085854"
step18b_bge_m3_ridge_a1000p0_w0p0325_l0p5,ridge_a1000p0,0.0325,0.5,0.6604997248311787,0.0003233890858637123,-0.0007608335480542294,0.18917617046011098,16,24,40,1,"{1: 126, 2: 64, 3: 54, 4: 35, 5: 19}","{1: 144, 2: 61, 3: 44, 4: 28, 5: 21}",142,79,63,0.11267605633802817,0,37,19,22,0,"1.925378,2.553093,3.292587,4.135469"
step18b_bge_m3_ridge_a30p0_w0p0375_l2p0,ridge_a30p0,0.0375,2.0,0.6604270222866213,0.00025068654130633305,-0.0008335360926116087,0.1723976469701781,7,12,19,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 30, 5: 23}",90,50,40,0.1111111111111111,4,18,12,14,0,"1.917492,2.540525,3.246796,4.085887"
step18b_bge_m3_huber_w0p0200_l0p5,huber,0.02,0.5,0.6603338379616233,0.00015750221630828065,-0.0009267204176096611,0.1556191234802452,2,5,7,0,"{1: 124, 2: 60, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 66, 3: 42, 4: 32, 5: 23}",71,39,32,0.09859154929577464,7,17,7,5,0,"1.898526,2.514878,3.251888,4.102729"
step18b_bge_m3_ridge_a300p0_w0p0350_l1p0,ridge_a300p0,0.035,1.0,0.6603060150163558,0.00012967927104079457,-0.0009545433628771471,0.18246476106413784,8,14,22,1,"{1: 125, 2: 63, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 64, 3: 38, 4: 33, 5: 22}",92,51,41,0.10869565217391304,1,17,11,12,0,"1.916476,2.540231,3.242442,4.088511"
step18b_bge_m3_ridge_a100p0_w0p0300_l0p5,ridge_a100p0,0.03,0.5,0.660300180797391,0.00012384505207596597,-0.0009603775818419757,0.1858204657621244,10,17,27,1,"{1: 125, 2: 64, 3: 54, 4: 33, 5: 22}","{1: 140, 2: 65, 3: 42, 4: 29, 5: 22}",107,58,49,0.08411214953271028,0,26,13,15,0,"1.913484,2.546607,3.271285,4.108874"
step18b_bge_m3_ridge_a300p0_w0p0175_l0p5,ridge_a300p0,0.0175,0.5,0.6602800480494676,0.00010371230415262556,-0.0009805103297653162,0.19253187515809755,14,17,31,1,"{1: 126, 2: 65, 3: 53, 4: 32, 5: 22}","{1: 140, 2: 65, 3: 42, 4: 29, 5: 22}",132,71,61,0.07575757575757576,0,33,17,15,0,"1.919669,2.562906,3.291456,4.130172"
step18b_bge_m3_ridge_a1000p0_w0p0175_l0p5,ridge_a1000p0,0.0175,0.5,0.660261058281308,8.472253599300927e-05,-0.0009995000979249324,0.17910905636615126,7,15,22,1,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 65, 3: 40, 4: 31, 5: 22}",87,48,39,0.10344827586206896,0,20,10,13,0,"1.914113,2.533742,3.260581,4.111070"
step18b_bge_m3_ridge_a30p0_w0p0300_l0p5,ridge_a30p0,0.03,0.5,0.6602481051292519,7.17693839369371e-05,-0.0010124532499810046,0.1925318751580976,12,18,30,0,"{1: 124, 2: 67, 3: 52, 4: 34, 5: 21}","{1: 140, 2: 65, 3: 42, 4: 30, 5: 21}",124,69,55,0.11290322580645161,1,33,17,16,0,"1.913956,2.559775,3.274049,4.138867"
step18b_bge_m3_ridge_a1000p0_w0p0400_l2p0,ridge_a1000p0,0.04,2.0,0.6602373552130765,6.10194677614917e-05,-0.00102320316615645,0.1858204657621244,9,14,23,1,"{1: 125, 2: 64, 3: 53, 4: 34, 5: 22}","{1: 141, 2: 64, 3: 38, 4: 33, 5: 22}",95,53,42,0.11578947368421053,0,16,12,12,0,"1.920864,2.538528,3.241846,4.087197"
step18b_bge_m3_ridge_a100p0_w0p0275_l0p5,ridge_a100p0,0.0275,0.5,0.6602284574965561,5.2121751241140934e-05,-0.0010321008826768008,0.16233053287621835,2,7,9,0,"{1: 123, 2: 62, 3: 56, 4: 35, 5: 22}","{1: 137, 2: 65, 3: 41, 4: 33, 5: 22}",62,33,29,0.06451612903225806,2,13,7,7,0,"1.902864,2.519330,3.241857,4.101676"
step18b_bge_m3_ridge_a30p0_w0p0150_l0p5,ridge_a30p0,0.015,0.5,0.6602232079955013,4.687225018629171e-05,-0.00103735038373165,0.15897482817823175,1,6,7,0,"{1: 123, 2: 61, 3: 57, 4: 35, 5: 22}","{1: 135, 2: 67, 3: 42, 4: 32, 5: 22}",57,32,25,0.12280701754385964,3,14,6,4,0,"1.892422,2.514208,3.251173,4.099015"
step18b_bge_m3_ridge_a30p0_w0p0250_l0p5,ridge_a30p0,0.025,0.5,0.6602130074912056,3.667174589061517e-05,-0.0010475508880273265,0.1723976469701781,5,12,17,1,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 140, 2: 64, 3: 40, 4: 31, 5: 23}",84,46,38,0.09523809523809523,1,18,8,12,0,"1.913371,2.535581,3.247252,4.082081"
step18b_bge_m3_ridge_a30p0_w0p0250_l1p0,ridge_a30p0,0.025,1.0,0.6601709031039764,-5.432641338565247e-06,-0.001089655275256507,0.16904194227219152,5,11,16,1,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 140, 2: 63, 3: 41, 4: 31, 5: 23}",83,46,37,0.10843373493975904,0,18,8,13,0,"1.913303,2.534220,3.245158,4.084905"
step18b_bge_m3_ridge_a10p0_w0p0300_l4p0,ridge_a10p0,0.03,4.0,0.6601680118762248,-8.323869090220981e-06,-0.0010925465030081627,0.1791090563661513,8,12,20,0,"{1: 124, 2: 65, 3: 53, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 30, 5: 23}",98,53,45,0.08163265306122448,4,21,13,14,0,"1.918259,2.545985,3.250376,4.096039"
step18b_bge_m3_ridge_a30p0_w0p0400_l2p0,ridge_a30p0,0.04,2.0,0.6601586730269191,-1.766271839587219e-05,-0.001101885352313814,0.1723976469701781,7,13,20,0,"{1: 123, 2: 64, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 29, 5: 23}",93,51,42,0.0967741935483871,4,20,12,15,0,"1.916046,2.540922,3.248372,4.087718"
step18b_bge_m3_ridge_a300p0_w0p0250_l0p5,ridge_a300p0,0.025,0.5,0.6601550963319467,-2.1239413368290272e-05,-0.001105462047286232,0.1858204657621244,10,16,26,1,"{1: 126, 2: 63, 3: 53, 4: 34, 5: 22}","{1: 141, 2: 64, 3: 40, 4: 31, 5: 22}",102,57,45,0.11764705882352941,0,24,13,14,0,"1.916783,2.544350,3.256627,4.117784"
step18b_bge_m3_ridge_a100p0_w0p0300_l1p0,ridge_a100p0,0.03,1.0,0.6601454680541772,-3.086769113780363e-05,-0.0011150903250557453,0.1858204657621244,10,17,27,1,"{1: 126, 2: 63, 3: 53, 4: 34, 5: 22}","{1: 141, 2: 64, 3: 41, 4: 30, 5: 22}",94,52,42,0.10638297872340426,0,20,13,15,0,"1.915295,2.547208,3.255855,4.088622"
step18b_bge_m3_ridge_a1000p0_w0p0350_l0p5,ridge_a1000p0,0.035,0.5,0.6601329922486558,-4.334349665913173e-05,-0.0011275661305770734,0.18582046576212438,10,16,26,1,"{1: 126, 2: 63, 3: 52, 4: 34, 5: 23}","{1: 143, 2: 62, 3: 38, 4: 33, 5: 22}",93,51,42,0.0967741935483871,0,18,13,14,0,"1.923338,2.543547,3.234330,4.074492"
step18b_bge_m3_ridge_a30p0_w0p0300_l2p0,ridge_a30p0,0.03,2.0,0.6601236392852189,-5.269646009609108e-05,-0.0011369190940140328,0.1791090563661513,8,13,21,0,"{1: 125, 2: 63, 3: 54, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 40, 4: 31, 5: 23}",88,49,39,0.11363636363636363,1,18,13,15,0,"1.917193,2.543974,3.246868,4.090112"
step18b_bge_m3_ridge_a1000p0_w0p0400_l1p0,ridge_a1000p0,0.04,1.0,0.660093837419403,-8.249832591200601e-05,-0.0011667209598299477,0.1757533516681647,7,13,20,1,"{1: 125, 2: 62, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 39, 4: 33, 5: 22}",88,48,40,0.09090909090909091,0,15,10,11,0,"1.919863,2.530617,3.237725,4.088464"
step18b_bge_m3_ridge_a30p0_w0p0400_l0p5,ridge_a30p0,0.04,0.5,0.6600792940965573,-9.704164875767862e-05,-0.0011812642826756203,0.1723976469701781,6,12,18,0,"{1: 122, 2: 65, 3: 55, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 29, 5: 23}",95,53,42,0.11578947368421053,5,21,11,14,0,"1.910716,2.542679,3.248966,4.088942"
step18b_bge_m3_ridge_a100p0_w0p0350_l4p0,ridge_a100p0,0.035,4.0,0.6600681273085187,-0.00010820843679626435,-0.001192431070714206,0.17575335166816466,6,14,20,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 141, 2: 63, 3: 41, 4: 30, 5: 23}",91,50,41,0.0989010989010989,1,18,11,16,0,"1.913899,2.535792,3.247153,4.085149"
step18b_bge_m3_ridge_a100p0_w0p0300_l4p0,ridge_a100p0,0.03,4.0,0.6600681273085187,-0.00010820843679626435,-0.001192431070714206,0.1791090563661513,8,15,23,1,"{1: 126, 2: 61, 3: 55, 4: 34, 5: 22}","{1: 142, 2: 63, 3: 39, 4: 31, 5: 23}",89,49,40,0.10112359550561797,0,17,11,15,0,"1.915581,2.536521,3.247313,4.084297"
step18b_bge_m3_ridge_a300p0_w0p0375_l1p0,ridge_a300p0,0.0375,1.0,0.6600649392899496,-0.00011139645536539788,-0.0011956190892833396,0.1757533516681647,8,14,22,1,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 64, 3: 39, 4: 33, 5: 22}",91,51,40,0.12087912087912088,2,17,11,14,0,"1.912444,2.533816,3.242774,4.091240"
step18b_bge_m3_ridge_a300p0_w0p0225_l0p5,ridge_a300p0,0.0225,0.5,0.6600466547129435,-0.00012968103237143147,-0.0012139036662893732,0.1858204657621244,11,17,28,1,"{1: 126, 2: 63, 3: 54, 4: 33, 5: 22}","{1: 140, 2: 65, 3: 42, 4: 29, 5: 22}",108,59,49,0.09259259259259259,0,25,14,15,0,"1.916652,2.548967,3.283714,4.116065"
