name,w_qwen,w_e5,w_scincl,w_specter,w_ridge,oof_qwk,oof_round_qwk,test_l1,thresholds
q0p20_e50p40_sc0p30_sp0p10_r0p00,0.2,0.4,0.3,0.1,0.0,0.6620086619418555,0.6455340221433843,0.1651238139319602,"1.896408,2.498803,3.191081,4.041798"
q0p25_e50p35_sc0p30_sp0p10_r0p00,0.25,0.35,0.3,0.1,0.0,0.6617530442732835,0.649150389384999,0.15616270996700804,"1.890802,2.497858,3.219671,4.019205"
q0p30_e50p30_sc0p20_sp0p15_r0p05,0.3,0.3,0.2,0.15,0.05,0.660867044247498,0.6428630413435295,0.16847951862994684,"1.908315,2.498865,3.206178,3.972428"
q0p25_e50p25_sc0p25_sp0p20_r0p05,0.25,0.25,0.25,0.2,0.05,0.6627507279418174,0.645044387081818,0.17519092802591996,"1.908830,2.498487,3.212650,3.998224"
q0p30_e50p25_sc0p25_sp0p15_r0p05,0.3,0.25,0.25,0.15,0.05,0.6620495323454024,0.6415691936448628,0.17294123345694098,"1.911951,2.485137,3.204989,3.971612"
q0p20_e50p30_sc0p30_sp0p15_r0p05,0.2,0.3,0.3,0.15,0.05,0.6632980150746324,0.6435142522468107,0.17183522332793336,"1.912563,2.506732,3.209964,3.996284"
q0p20_e50p40_sc0p20_sp0p15_r0p05,0.2,0.4,0.2,0.15,0.05,0.6653000737088615,0.6471885302731657,0.1556191234802452,"1.879579,2.496950,3.209503,4.010281"
q0p30_e50p25_sc0p20_sp0p20_r0p05,0.3,0.25,0.2,0.2,0.05,0.6643357480090952,0.6417420801025908,0.16233053287621838,"1.894076,2.489514,3.181456,3.971533"
q0p25_e50p30_sc0p20_sp0p20_r0p05,0.25,0.3,0.2,0.2,0.05,0.6627180989351994,0.6446732947911376,0.18190233742189313,"1.907091,2.495192,3.220411,3.980462"
q0p20_e50p35_sc0p30_sp0p10_r0p05,0.2,0.35,0.3,0.1,0.05,0.6638619524579169,0.6452756958974496,0.1662298240609678,"1.915233,2.497055,3.208222,4.019508"
q0p20_e50p45_sc0p20_sp0p15_r0p00,0.2,0.45,0.2,0.15,0.0,0.6641504181793241,0.6485581207717459,0.1533694289112662,"1.869297,2.497387,3.244957,4.082965"
q0p30_e50p40_sc0p15_sp0p15_r0p00,0.3,0.4,0.15,0.15,0.0,0.6629431466908455,0.6474727082960667,0.16512381393196018,"1.896036,2.520088,3.246082,4.093453"
q0p35_e50p30_sc0p20_sp0p15_r0p00,0.35,0.3,0.2,0.15,0.0,0.6596281874672136,0.6432519060760677,0.15841240453598704,"1.891679,2.497349,3.215110,4.010227"
q0p20_e50p30_sc0p25_sp0p20_r0p05,0.2,0.3,0.25,0.2,0.05,0.6655786918320412,0.6441719974950808,0.1651238139319602,"1.897849,2.484159,3.169515,4.009938"
q0p25_e50p25_sc0p30_sp0p15_r0p05,0.25,0.25,0.3,0.15,0.05,0.6629169027310647,0.6424795950709061,0.1684795186299468,"1.913631,2.497845,3.215183,3.999545"
q0p30_e50p30_sc0p25_sp0p10_r0p05,0.3,0.3,0.25,0.1,0.05,0.6603485546984036,0.6407340869717078,0.15841240453598704,"1.906125,2.497693,3.196024,3.972504"
q0p25_e50p30_sc0p25_sp0p20_r0p00,0.25,0.3,0.25,0.2,0.0,0.6640012688031687,0.6518925678021381,0.1528070052690215,"1.888092,2.481325,3.219972,4.008601"
q0p20_e50p40_sc0p25_sp0p10_r0p05,0.2,0.4,0.25,0.1,0.05,0.6631746893227868,0.6457098430990587,0.16008083830723935,"1.892361,2.495866,3.221935,4.018915"
q0p15_e50p40_sc0p30_sp0p15_r0p00,0.15,0.4,0.3,0.15,0.0,0.6628749597212766,0.648598401902923,0.16904194227219152,"1.898751,2.521411,3.231277,4.074073"
q0p15_e50p45_sc0p25_sp0p15_r0p00,0.15,0.45,0.25,0.15,0.0,0.664575838463208,0.6489161044758314,0.1522634187822586,"1.880650,2.497110,3.229553,4.070859"
q0p35_e50p35_sc0p20_sp0p10_r0p00,0.35,0.35,0.2,0.1,0.0,0.6595277173953666,0.6424746072352701,0.15616270996700804,"1.883431,2.485681,3.216129,4.029504"
q0p40_e50p30_sc0p20_sp0p10_r0p00,0.4,0.3,0.2,0.1,0.0,0.6585426069313467,0.6412920572966492,0.15841240453598704,"1.887344,2.498192,3.208917,3.995369"
q0p35_e50p25_sc0p25_sp0p15_r0p00,0.35,0.25,0.25,0.15,0.0,0.6596845431988572,0.643467128769669,0.16287411936298124,"1.891558,2.483833,3.217251,3.994821"
q0p00_e50p50_sc0p30_sp0p20_r0p00,0.0,0.5,0.3,0.2,0.0,0.6592849557593436,0.647483270016774,0.1421963046882989,"1.876577,2.491860,3.263623,4.140085"
