lookup_id,lookup_type,lookup_value,s2_found,s2_error,s2_paper_id,s2_title,s2_venue,s2_year,s2_reference_count,s2_citation_count,s2_influential_citation_count,s2_publication_types,s2_fields_of_study,s2_is_open_access
DOI:10.1007/978-3-030-20528-7_8,doi,10.1007/978-3-030-20528-7_8,True,,b1c5daa4309391ebaed6cdcc70bac6fdf0534ed5,Argumentation-Based Explanations for Answer Sets Using ADF,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,17.0,1.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-20528-7_9,doi,10.1007/978-3-030-20528-7_9,True,,f9bd0f5dac59fe5a087c3f762ca128e7054280f1,Treewidth and Counting Projected Answer Sets,International Conference on Logic Programming and Non-Monotonic Reasoning,2019.0,53.0,20.0,0.0,JournalArticle,Mathematics|Computer Science,True
DOI:10.1007/978-3-030-25540-4_10,doi,10.1007/978-3-030-25540-4_10,True,,81ce4c6ef5c27d95cb2f01feab32e117f6fbf4d7,Security-Aware Synthesis Using Delayed-Action Games,International Conference on Computer Aided Verification,2019.0,33.0,5.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_11,doi,10.1007/978-3-030-25540-4_11,True,,61e1b20a205c2dfb68643c519adb5b634da66533,Automated Hypersafety Verification,International Conference on Computer Aided Verification,2019.0,28.0,42.0,6.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_12,doi,10.1007/978-3-030-25540-4_12,True,,f994a89cbee3d3e943e2372fdbd434debc0815ae,Automated Synthesis of Secure Platform Mappings,International Conference on Computer Aided Verification,2017.0,42.0,8.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_13,doi,10.1007/978-3-030-25540-4_13,True,,e52902e632c5685e101d9fc2712a8a2b176624ee,Synthesizing Approximate Implementations for Unrealizable Specifications,International Conference on Computer Aided Verification,2019.0,16.0,4.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_14,doi,10.1007/978-3-030-25540-4_14,True,,b1cbadc7e50cad1560977c5f030287db77167aef,Quantified Invariants via Syntax-Guided Synthesis,International Conference on Computer Aided Verification,2019.0,37.0,50.0,5.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_16,doi,10.1007/978-3-030-25540-4_16,True,,0f1d854960950faad987ee043743fb7350b74fa2,Membership-Based Synthesis of Linear Hybrid Automata,International Conference on Computer Aided Verification,2019.0,22.0,16.0,2.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_19,doi,10.1007/978-3-030-25540-4_19,True,,e3a0886cc77e1560e764e124986ab5ec1e927097,BMC for Weak Memory Models: Relation Analysis for Compact SMT Encodings,International Conference on Computer Aided Verification,2019.0,27.0,53.0,5.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_21,doi,10.1007/978-3-030-25540-4_21,True,,b77e69c3336f244f256a4b357e9b661e4203fae2,Extending nuXmv with Timed Transition Systems and Timed Temporal Properties,International Conference on Computer Aided Verification,2019.0,30.0,28.0,2.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_22,doi,10.1007/978-3-030-25540-4_22,True,,8eab98f99aef30b0f299689ca4c0e66c80fbf19f,Cerberus-BMC: A Principled Reference Semantics and Exploration Tool for Concurrent and Sequential C,International Conference on Computer Aided Verification,2019.0,35.0,11.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_23,doi,10.1007/978-3-030-25540-4_23,True,,047ee8fe5d29e0cc76d48286130fc1b927df4f1d,Multi-Armed Bandits for Boolean Connectives in Hybrid System Falsification (Extended Version),International Conference on Computer Aided Verification,2019.0,39.0,27.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_24,doi,10.1007/978-3-030-25540-4_24,True,,41a1730ac71cbfafda7c2c2e7205ad499fe92ac3,StreamLAB: Stream-based Monitoring of Cyber-Physical Systems,International Conference on Computer Aided Verification,2019.0,24.0,66.0,4.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_25,doi,10.1007/978-3-030-25540-4_25,True,,70529da5e31152548d7b9baa8eb6d1e1cc88b075,VerifAI: A Toolkit for the Formal Design and Analysis of Artificial Intelligence-Based Systems,International Conference on Computer Aided Verification,2019.0,24.0,223.0,8.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_26,doi,10.1007/978-3-030-25540-4_26,True,,3c742ebff7df12e3fd0194023975e2211e4ba67a,The Marabou Framework for Verification and Analysis of Deep Neural Networks,International Conference on Computer Aided Verification,2019.0,31.0,596.0,56.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_27,doi,10.1007/978-3-030-25540-4_27,True,,719e64cd6bffb05d169e8daeb04cfe5663f2e74f,Probabilistic Bisimulation for Parameterized Systems - (with Applications to Verifying Anonymous Protocols),International Conference on Computer Aided Verification,2019.0,53.0,6.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_29,doi,10.1007/978-3-030-25540-4_29,True,,9d52891359ae8e7b327b4df0ab4c0b701f33aa9f,PAC Statistical Model Checking for Markov Decision Processes and Stochastic Games,International Conference on Computer Aided Verification,2019.0,62.0,55.0,8.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_3,doi,10.1007/978-3-030-25540-4_3,True,,20d0cd020f3f2caf3b947f9ee1a313a46f9cee97,Fast algorithms for handling diagonal constraints in timed automata,International Conference on Computer Aided Verification,2019.0,36.0,13.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_30,doi,10.1007/978-3-030-25540-4_30,True,,6eab0c28656bade3626f744ec7c188049325dfaf,Symbolic Monitoring against Specifications Parametric in Time and Data,International Conference on Computer Aided Verification,2019.0,53.0,12.0,1.0,JournalArticle|Conference,Computer Science|Mathematics,True
DOI:10.1007/978-3-030-25540-4_31,doi,10.1007/978-3-030-25540-4_31,True,,72e0ff6118a9d7515884b95544665a458ec18d2f,STAMINA: STochastic Approximate Model-checker for INfinite-state Analysis,International Conference on Computer Aided Verification,2019.0,23.0,6.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_33,doi,10.1007/978-3-030-25540-4_33,True,,d4095797cc10414130ec96ff6ae2747e9ad1647a,Robust Controller Synthesis in Timed Büchi Automata: A Symbolic Approach,International Conference on Computer Aided Verification,2019.0,34.0,7.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_34,doi,10.1007/978-3-030-25540-4_34,True,,5bcf757793c57a46e31d4173de09c68b82bc6b21,Flexible Computational Pipelines for Robust Abstraction-Based Control Synthesis,International Conference on Computer Aided Verification,2019.0,22.0,1.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_35,doi,10.1007/978-3-030-25540-4_35,True,,408d1b2f5d4518f5fc5d0a5fbba0b17eab47bd30,Temporal Stream Logic: Synthesis beyond the Bools,International Conference on Computer Aided Verification,2017.0,74.0,48.0,4.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_36,doi,10.1007/978-3-030-25540-4_36,True,,e0882157bb6a6a026ffc5e3643abe2f523f2e6b8,Run-Time Optimization for Learned Controllers Through Quantitative Games,International Conference on Computer Aided Verification,2019.0,50.0,45.0,2.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_37,doi,10.1007/978-3-030-25540-4_37,True,,58abcade94a2be7d4f86b11b95c5e4f192e4326d,Taming Delays in Dynamical Systems - Unbounded Verification of Delay Differential Equations,International Conference on Computer Aided Verification,2019.0,48.0,13.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_4,doi,10.1007/978-3-030-25540-4_4,True,,ba9801eb1af2b62ed55aa279a2e7b769b102b6b4,Safety and Co-safety Comparator Automata for Discounted-Sum Inclusion,International Conference on Computer Aided Verification,2019.0,42.0,8.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_5,doi,10.1007/978-3-030-25540-4_5,True,,407ac14f1f2a7157535686c25b7eb9c9189e2320,Clock Bound Repair for Timed Systems,International Conference on Computer Aided Verification,2019.0,30.0,13.0,2.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_6,doi,10.1007/978-3-030-25540-4_6,True,,2006e89f153b0e497cf62ca7b901da39be25b7be,Verifying Asynchronous Interactions via Communicating Session Automata,International Conference on Computer Aided Verification,2019.0,90.0,47.0,3.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_7,doi,10.1007/978-3-030-25540-4_7,True,,7685a090436df8c87f813ca2b7a584d344297973,Verifying Hyperliveness,International Conference on Computer Aided Verification,2020.0,32.0,76.0,7.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25540-4_8,doi,10.1007/978-3-030-25540-4_8,True,,4f7038a63e7ab7a3cfd7de7d3b11a28631af9bb5,Quantitative Mitigation of Timing Side Channels,International Conference on Computer Aided Verification,2019.0,55.0,16.0,0.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-25543-5_10,doi,10.1007/978-3-030-25543-5_10,True,,7bc8abc6150b575b5e8698d018905df800726456,Icing: Supporting Fast-Math Style Optimizations in a Verified Compiler,International Conference on Computer Aided Verification,2019.0,43.0,5.0,0.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-25543-5_11,doi,10.1007/978-3-030-25543-5_11,True,,7f98578c03e6ad89c1f9a3962b0a43321d1b19aa,Sound Approximation of Programs with Elementary Functions,International Conference on Computer Aided Verification,2018.0,46.0,14.0,0.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-25543-5_13,doi,10.1007/978-3-030-25543-5_13,True,,1c771b56c7e11adf01f50bd653878bf31f7fbe63,SecCSL: Security Concurrent Separation Logic,International Conference on Computer Aided Verification,2019.0,51.0,27.0,5.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_15,doi,10.1007/978-3-030-25543-5_15,True,,7c7bf02d4261f4d8c8102e4691f7d389d3fb4f6b,Verification of Threshold-Based Distributed Algorithms by Decomposition to Decidable Logics,International Conference on Computer Aided Verification,2019.0,48.0,44.0,0.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-25543-5_17,doi,10.1007/978-3-030-25543-5_17,True,,dcaaa4a12f8d276b4d09c769bcdb0027ee25a5af,Checking Robustness Against Snapshot Isolation,International Conference on Computer Aided Verification,2019.0,26.0,21.0,1.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-25543-5_18,doi,10.1007/978-3-030-25543-5_18,True,,e99fa7caaaa6e1b345886ff83dac5dc2dd3e12d5,Efficient Verification of Network Fault Tolerance via Counterexample-Guided Refinement,International Conference on Computer Aided Verification,2019.0,26.0,20.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_19,doi,10.1007/978-3-030-25543-5_19,True,,13c63ae838634a767abb0cf260164cce9e46ab76,On the Complexity of Checking Consistency for Replicated Data Types,International Conference on Computer Aided Verification,2019.0,39.0,7.0,1.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_2,doi,10.1007/978-3-030-25543-5_2,True,,1a7f0a5f2f3c7bc40edc028c25d098f6357c60fd,High-Level Abstractions for Simplifying Extended String Constraints in SMT,International Conference on Computer Aided Verification,2019.0,23.0,22.0,3.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_22,doi,10.1007/978-3-030-25543-5_22,True,,2ac826becb978915a2004ff2a866ad044d534639,Verifying Asynchronous Event-Driven Programs Using Partial Abstract Transformers (Extended Manuscript),International Conference on Computer Aided Verification,2019.0,32.0,5.0,1.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_23,doi,10.1007/978-3-030-25543-5_23,True,,f51c2bba7505a8369617bb243843ab607613b7f8,Inferring Inductive Invariants from Phase Structures,International Conference on Computer Aided Verification,2019.0,70.0,35.0,2.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_24,doi,10.1007/978-3-030-25543-5_24,True,,d3b864ce72de82ec2ae22dcbe29e759befb1675c,Termination of Triangular Integer Loops is Decidable,International Conference on Computer Aided Verification,2019.0,17.0,17.0,0.0,JournalArticle|Conference,Mathematics|Computer Science,True
DOI:10.1007/978-3-030-25543-5_25,doi,10.1007/978-3-030-25543-5_25,True,,e0996473d2a81c1390060d3e53cc1c353a91ffc9,AliveInLean: A Verified LLVM Peephole Optimization Verifier,International Conference on Computer Aided Verification,2019.0,28.0,8.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_26,doi,10.1007/978-3-030-25543-5_26,True,,05f564acbc6ebb69398874e924dd9d13bfbb9f2e,Automated Parameterized Verification of CRDTs,International Conference on Computer Aided Verification,2019.0,28.0,21.0,3.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-25543-5_28,doi,10.1007/978-3-030-25543-5_28,True,,99f31297cedf4cbbf50c2dd2312c38bc005fd1b0,Integrating Formal Schedulability Analysis into a Verified OS Kernel,International Conference on Computer Aided Verification,2019.0,37.0,18.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_29,doi,10.1007/978-3-030-25543-5_29,True,,2bde2743e0ee396d5475006cda0415ab3f67905e,Rely-Guarantee Reasoning About Concurrent Memory Management in Zephyr RTOS,International Conference on Computer Aided Verification,2019.0,24.0,11.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_3,doi,10.1007/978-3-030-25543-5_3,True,,e88835f030835d147c16fe73425490bbbdaaa3d2,Alternating Automata Modulo First Order Theories,International Conference on Computer Aided Verification,2019.0,24.0,3.0,1.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_30,doi,10.1007/978-3-030-25543-5_30,True,,aeb04a842013aab07b1e3a3a482777d5d98729ad,Violat: Generating Tests of Observational Refinement for Concurrent Objects,International Conference on Computer Aided Verification,2019.0,48.0,6.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_4,doi,10.1007/978-3-030-25543-5_4,True,,e4b0b74c43171562c45289d3e4b66c071b9f13f4,Q3B: An Efficient BDD-based SMT Solver for Quantified Bit-Vectors,International Conference on Computer Aided Verification,2019.0,23.0,5.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_5,doi,10.1007/978-3-030-25543-5_5,True,,2468805760a0f6ad3b93297f1cf80a70840c154f,cvc4sy: Smart and Fast Term Enumeration for Syntax-Guided Synthesis,International Conference on Computer Aided Verification,2019.0,15.0,77.0,11.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_6,doi,10.1007/978-3-030-25543-5_6,True,,0f7581737247e47c6eb287aae803d37b2747db09,Incremental Determinization for Quantifier Elimination and Functional Synthesis,International Conference on Computer Aided Verification,2019.0,37.0,16.0,4.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_7,doi,10.1007/978-3-030-25543-5_7,True,,839326e54e9031a9f6bc78d1555341949703a3ce,Loop Summarization with Rational Vector Addition Systems (extended version),International Conference on Computer Aided Verification,2019.0,25.0,22.0,1.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_8,doi,10.1007/978-3-030-25543-5_8,True,,2f6815bead6d8953b55e1dc5a82ae0daebe65792,Invertibility Conditions for Floating-Point Formulas,International Conference on Computer Aided Verification,2019.0,32.0,6.0,0.0,JournalArticle|Conference,Computer Science,True
DOI:10.1007/978-3-030-25543-5_9,doi,10.1007/978-3-030-25543-5_9,True,,4dffbf611cd6fc2f595f670c8192808ae4462656,Numerically-Robust Inductive Proof Rules for Continuous Dynamical Systems,International Conference on Computer Aided Verification,2019.0,35.0,21.0,2.0,JournalArticle|Conference,Computer Science,False
DOI:10.1007/978-3-030-28423-7_1,doi,10.1007/978-3-030-28423-7_1,True,,166912d3bf68748bfd7da5df6ffd0b76662d0173,"Trust, Resilience and Interpretability of AI Models",NSV@CAV,2019.0,55.0,6.0,0.0,JournalArticle|Review,Computer Science,False
DOI:10.1007/978-3-030-28423-7_3,doi,10.1007/978-3-030-28423-7_3,True,,b64832fc99faa614483aa8ae2f53dd70599a9b8e,An Evaluation of Monte-Carlo Tree Search for Property Falsification on Hybrid Flight Control Laws,NSV@CAV,2019.0,16.0,8.0,1.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-28423-7_4,doi,10.1007/978-3-030-28423-7_4,True,,efb1dd99f13e6d1b22d160a172b9bc51f102f990,Rigorous Continuous Evolution of Uncertain Systems,NSV@CAV,2019.0,23.0,5.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-28423-7_5,doi,10.1007/978-3-030-28423-7_5,True,,f8088b8eaa1ee68bb38d2237717685b5222b6271,Stochastic Local Search for Solving Floating-Point Constraints,NSV@CAV,2019.0,13.0,2.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-28423-7_6,doi,10.1007/978-3-030-28423-7_6,True,,a75df51a98345a0ddbd90c16ee2c0b8c3e333b5d,Evaluating Branching Heuristics in Interval Constraint Propagation for Satisfiability,NSV@CAV,2019.0,18.0,1.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-28423-7_7,doi,10.1007/978-3-030-28423-7_7,True,,17a3c960bceca7c1e3addefd9aa2caec97fca2ac,Approximate Probabilistic Relations for Compositional Abstractions of Stochastic Systems,NSV@CAV,2019.0,25.0,0.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-28423-7_8,doi,10.1007/978-3-030-28423-7_8,True,,f4d8a843ed7502ca3e59c41549234f8b1c2b699f,Polytopic Trees for Verification of Learning-Based Controllers,NSV@CAV,2019.0,42.0,1.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-28423-7_9,doi,10.1007/978-3-030-28423-7_9,True,,3cd5d5a544a3b861655b80511d721ac8e4eb410d,Mutant Accuracy Testing for Assessing the Implementation of Numerical Algorithms,NSV@CAV,2019.0,14.0,0.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-34621-8_8,doi,10.1007/978-3-030-34621-8_8,True,,5470699c68d9bbb99e7e122a3ce1cd3e90c3e225,Sponges Resist Leakage: The Case of Authenticated Encryption,IACR Cryptology ePrint Archive,2019.0,26.0,30.0,2.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_1,doi,10.1007/978-3-030-37446-4_1,True,,2db940e5930f27dd2de5f742a4f881d3121e5bb3,A Practical Exercise on Re-engineering Clinical Guideline Models Using Different Representation Languages,KR4HC/ProHealth/TEAAM@AIME,2019.0,12.0,3.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_11,doi,10.1007/978-3-030-37446-4_11,True,,61fbeb19a1fb567199570e9ea4ad4c8629b3d2ea,A Computational Framework for Interpretable Anomaly Detection and Classification of Multivariate Time Series with Application to Human Gait Data Analysis,KR4HC/ProHealth/TEAAM@AIME,2019.0,33.0,15.0,1.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_12,doi,10.1007/978-3-030-37446-4_12,True,,6025ae05a14c944d92cfd8eacbeb5b9906b8bd50,Self-organizing Maps Using Acoustic Features for Prediction of State Change in Bipolar Disorder,KR4HC/ProHealth/TEAAM@AIME,2019.0,20.0,10.0,0.0,JournalArticle,Computer Science|Psychology,False
DOI:10.1007/978-3-030-37446-4_13,doi,10.1007/978-3-030-37446-4_13,True,,1ddeba06aef65e1f4982b3e80e2893a35478a641,Explainable Machine Learning for Modeling of Early Postoperative Mortality in Lung Cancer,KR4HC/ProHealth/TEAAM@AIME,2019.0,14.0,5.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_2,doi,10.1007/978-3-030-37446-4_2,True,,5470856edd388a325b1467837c62f3f013fc4262,A Method for Goal-Oriented Guideline Modeling in PROforma and Its Preliminary Evaluation,KR4HC/ProHealth/TEAAM@AIME,2019.0,9.0,1.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_3,doi,10.1007/978-3-030-37446-4_3,True,,657a53988f514a15092da0c5b8c5b5ff89e79a84,Differential Diagnosis of Bacterial and Viral Meningitis Using Dominance-Based Rough Set Approach,KR4HC/ProHealth/TEAAM@AIME,2019.0,22.0,0.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_4,doi,10.1007/978-3-030-37446-4_4,True,,b8d796b5275e0c0b93c86224a4ecea54eacd0b52,Modelling ICU Patients to Improve Care Requirements and Outcome Prediction of Acute Respiratory Distress Syndrome: A Supervised Learning Approach,KR4HC/ProHealth/TEAAM@AIME,2019.0,19.0,1.0,0.0,JournalArticle,Computer Science|Medicine,False
DOI:10.1007/978-3-030-37446-4_6,doi,10.1007/978-3-030-37446-4_6,True,,411e97510aed275f5fc3c346e03867b8487da7f2,Towards Understanding ICU Treatments Using Patient Health Trajectories,KR4HC/ProHealth/TEAAM@AIME,2019.0,31.0,0.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_7,doi,10.1007/978-3-030-37446-4_7,True,,7f622c2a7d9ce815ebfa34d3bcc0a1beda54dfda,An Explainable Approach of Inferring Potential Medication Effects from Social Media Data,KR4HC/ProHealth/TEAAM@AIME,2019.0,16.0,2.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_8,doi,10.1007/978-3-030-37446-4_8,True,,c3961d22f15b22d373b585301c06c20ec71bf4d7,Exploring Antimicrobial Resistance Prediction Using Post-hoc Interpretable Methods,KR4HC/ProHealth/TEAAM@AIME,2019.0,24.0,3.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-37446-4_9,doi,10.1007/978-3-030-37446-4_9,True,,4eeb688d5cb3a288dfd9a6e15daa8c7eda92c253,Local vs. Global Interpretability of Machine Learning Models in Type 2 Diabetes Mellitus Screening,KR4HC/ProHealth/TEAAM@AIME,2019.0,30.0,37.0,0.0,JournalArticle,Computer Science,False
DOI:10.1007/978-3-030-53288-8_1,doi,10.1007/978-3-030-53288-8_1,True,,f1946e781c17ea711e2681174f4959a7c9616950,NNV: The Neural Network Verification Tool for Deep Neural Networks and Learning-Enabled Cyber-Physical Systems,International Conference on Computer Aided Verification,2020.0,60.0,275.0,28.0,JournalArticle|Conference,Computer Science|Engineering,True
DOI:10.1007/978-3-030-53288-8_10,doi,10.1007/978-3-030-53288-8_10,True,,844e10e3f2d4dcfccaee00bb429f9dc0dd74be66,Synthesis of Super-Optimized Smart Contracts Using Max-SMT,International Conference on Computer Aided Verification,2020.0,26.0,37.0,5.0,JournalArticle|Conference,Computer Science,True
