doi_norm,coci_found,coci_error,coci_citation_count
10.1007/978-3-319-61660-5_31,True,,2
10.1007/978-3-319-61660-5_4,True,,0
10.1007/978-3-319-61660-5_5,True,,0
10.1007/978-3-319-61660-5_6,True,,7
10.1007/978-3-319-61660-5_7,True,,4
10.1007/978-3-319-61660-5_8,True,,4
10.1007/978-3-319-63387-9_10,True,,25
10.1007/978-3-319-63387-9_11,True,,10
10.1007/978-3-319-63387-9_14,True,,13
10.1007/978-3-319-63387-9_16,True,,21
10.1007/978-3-319-63387-9_17,True,,23
10.1007/978-3-319-63387-9_18,True,,12
10.1007/978-3-319-63387-9_19,True,,4
10.1007/978-3-319-63387-9_2,True,,6
10.1007/978-3-319-63387-9_20,True,,61
10.1007/978-3-319-63387-9_21,True,,22
10.1007/978-3-319-63387-9_22,True,,77
10.1007/978-3-319-63387-9_23,True,,33
10.1007/978-3-319-63387-9_24,True,,35
10.1007/978-3-319-63387-9_25,True,,12
10.1007/978-3-319-63387-9_27,True,,12
10.1007/978-3-319-63387-9_28,True,,0
10.1007/978-3-319-63387-9_29,True,,6
10.1007/978-3-319-63387-9_4,True,,6
10.1007/978-3-319-63387-9_5,True,,796
10.1007/978-3-319-63387-9_6,True,,16
10.1007/978-3-319-63387-9_8,True,,54
10.1007/978-3-319-63390-9_1,True,,31
10.1007/978-3-319-63390-9_10,True,,2
10.1007/978-3-319-63390-9_11,True,,7
10.1007/978-3-319-63390-9_12,True,,29
10.1007/978-3-319-63390-9_15,True,,14
10.1007/978-3-319-63390-9_16,True,,8
10.1007/978-3-319-63390-9_17,True,,53
10.1007/978-3-319-63390-9_2,True,,13
10.1007/978-3-319-63390-9_20,True,,17
10.1007/978-3-319-63390-9_21,True,,15
10.1007/978-3-319-63390-9_22,True,,7
10.1007/978-3-319-63390-9_23,True,,2
10.1007/978-3-319-63390-9_24,True,,31
10.1007/978-3-319-63390-9_25,True,,15
10.1007/978-3-319-63390-9_27,True,,1
10.1007/978-3-319-63390-9_28,True,,16
10.1007/978-3-319-63390-9_29,True,,32
10.1007/978-3-319-63390-9_30,True,,34
10.1007/978-3-319-63390-9_31,True,,259
10.1007/978-3-319-63390-9_4,True,,28
10.1007/978-3-319-63390-9_5,True,,7
10.1007/978-3-319-63390-9_6,True,,7
10.1007/978-3-319-63390-9_7,True,,49
10.1007/978-3-319-63390-9_8,True,,10
10.1007/978-3-319-63390-9_9,True,,9
10.1007/978-3-319-63501-9_1,True,,12
10.1007/978-3-319-63501-9_2,True,,7
10.1007/978-3-319-63501-9_3,True,,1
10.1007/978-3-319-63501-9_4,True,,3
10.1007/978-3-319-63501-9_5,True,,9
10.1007/978-3-319-63501-9_6,True,,2
10.1007/978-3-319-63501-9_7,True,,6
10.1007/978-3-319-63501-9_8,True,,5
10.1007/978-3-319-96142-2_1,True,,4
10.1007/978-3-319-96142-2_11,True,,14
10.1007/978-3-319-96142-2_12,True,,25
10.1007/978-3-319-96142-2_13,True,,6
10.1007/978-3-319-96142-2_14,True,,12
10.1007/978-3-319-96142-2_15,True,,11
10.1007/978-3-319-96142-2_17,True,,13
10.1007/978-3-319-96142-2_19,True,,3
10.1007/978-3-319-96142-2_2,True,,26
10.1007/978-3-319-96142-2_20,True,,18
10.1007/978-3-319-96142-2_21,True,,8
10.1007/978-3-319-96142-2_23,True,,28
10.1007/978-3-319-96142-2_25,True,,8
10.1007/978-3-319-96142-2_26,True,,37
10.1007/978-3-319-96142-2_27,True,,4
10.1007/978-3-319-96142-2_3,True,,37
10.1007/978-3-319-96142-2_30,True,,2
10.1007/978-3-319-96142-2_31,True,,15
10.1007/978-3-319-96142-2_4,True,,9
10.1007/978-3-319-96142-2_5,True,,13
10.1007/978-3-319-96142-2_6,True,,35
10.1007/978-3-319-96142-2_7,True,,8
10.1007/978-3-319-96142-2_9,True,,2
10.1007/978-3-319-96145-3_10,True,,50
10.1007/978-3-319-96145-3_12,True,,15
10.1007/978-3-319-96145-3_16,True,,21
10.1007/978-3-319-96145-3_18,True,,5
10.1007/978-3-319-96145-3_19,True,,30
10.1007/978-3-319-96145-3_2,True,,5
10.1007/978-3-319-96145-3_20,True,,7
10.1007/978-3-319-96145-3_21,True,,15
10.1007/978-3-319-96145-3_24,True,,11
10.1007/978-3-319-96145-3_27,True,,5
10.1007/978-3-319-96145-3_28,True,,6
10.1007/978-3-319-96145-3_29,True,,10
10.1007/978-3-319-96145-3_30,True,,24
10.1007/978-3-319-96145-3_31,True,,71
10.1007/978-3-319-96145-3_33,True,,34
10.1007/978-3-319-96145-3_34,True,,10
10.1007/978-3-319-96145-3_35,True,,6
10.1007/978-3-319-96145-3_39,True,,3
10.1007/978-3-319-96145-3_9,True,,18
10.1007/978-94-007-0008-6_3,True,,2
10.1016/j.entcs.2020.02.007,True,,0
10.1016/j.tcs.2019.07.003,True,,1
10.1017/s1471068420000095,True,,7
10.1017/s147106842400022x,True,,0
10.1017/s1471068424000322,True,,1
10.1038/scientificamerican0398-20b,True,,0
10.1109/cavs.2019.8887759,True,,12
10.1109/cavs.2019.8887763,True,,9
10.1109/cavs.2019.8887764,True,,6
10.1109/cavs.2019.8887768,True,,4
10.1109/cavs.2019.8887774,True,,3
10.1109/cavs.2019.8887778,True,,11
10.1109/cavs.2019.8887781,True,,1
10.1109/cavs.2019.8887782,True,,5
10.1109/cavs.2019.8887783,True,,1
10.1109/cavs.2019.8887784,True,,4
10.1109/cavs.2019.8887787,True,,1
10.1109/cavs.2019.8887788,True,,6
10.1109/cavs.2019.8887791,True,,16
10.1109/cavs.2019.8887792,True,,26
10.1109/cavs.2019.8887793,True,,3
10.1109/cavs.2019.8887797,True,,20
10.1109/cavs.2019.8887800,True,,10
10.1109/cavs.2019.8887811,True,,4
10.1109/cavs.2019.8887827,True,,2
10.1109/cavs.2019.8887832,True,,5
10.1109/cavs.2019.8887834,True,,6
10.1109/cavs.2019.8887840,True,,12
10.1109/cavs.2019.8887848,True,,5
10.1109/cavs51000.2020.9334558,True,,11
10.1109/cavs51000.2020.9334559,True,,5
10.1109/cavs51000.2020.9334562,True,,6
10.1109/cavs51000.2020.9334578,True,,3
10.1109/cavs51000.2020.9334579,True,,0
10.1109/cavs51000.2020.9334587,True,,0
10.1109/cavs51000.2020.9334596,True,,2
10.1109/cavs51000.2020.9334597,True,,2
10.1109/cavs51000.2020.9334598,True,,5
10.1109/cavs51000.2020.9334599,True,,33
10.1109/cavs51000.2020.9334603,True,,3
10.1109/cavs51000.2020.9334605,True,,15
10.1109/cavs51000.2020.9334618,True,,8
10.1109/cavs51000.2020.9334621,True,,1
10.1109/cavs51000.2020.9334622,True,,7
10.1109/cavs51000.2020.9334630,True,,1
10.1109/cavs51000.2020.9334636,True,,7
10.1109/cavs51000.2020.9334640,True,,2
10.1109/cavs51000.2020.9334646,True,,4
10.1109/cavs51000.2020.9334649,True,,2
10.1109/cavs51000.2020.9334650,True,,8
10.1109/cavs51000.2020.9334658,True,,6
10.1109/cavs51000.2020.9334661,True,,1
10.1109/cavs51000.2020.9334665,True,,25
10.1109/cavs51000.2020.9334669,True,,1
10.1109/cavs51000.2020.9334670,True,,1
10.1109/cavs51000.2020.9334679,True,,2
10.1109/cavs51000.2020.9334683,True,,4
10.1109/cavs51000.2020.9334684,True,,2
10.1109/icacsis51025.2020.9263160,True,,0
10.1109/icra57147.2024.10610800,True,,1
10.1109/lics.2017.8005058,True,,0
10.1109/lics.2017.8005061,True,,2
10.1109/lics.2017.8005062,True,,0
10.1109/lics.2017.8005063,True,,0
10.1109/lics.2017.8005064,True,,10
10.1109/lics.2017.8005065,True,,8
10.1109/lics.2017.8005066,True,,2
10.1109/lics.2017.8005067,True,,0
10.1109/lics.2017.8005068,True,,13
10.1109/lics.2017.8005069,True,,8
10.1109/lics.2017.8005071,True,,7
10.1109/lics.2017.8005072,True,,0
10.1109/lics.2017.8005073,True,,0
10.1109/lics.2017.8005074,True,,7
10.1109/lics.2017.8005075,True,,11
10.1109/lics.2017.8005077,True,,3
10.1109/lics.2017.8005078,True,,0
10.1109/lics.2017.8005080,True,,10
10.1109/lics.2017.8005081,True,,6
10.1109/lics.2017.8005082,True,,4
10.1109/lics.2017.8005083,True,,6
10.1109/lics.2017.8005084,True,,3
10.1109/lics.2017.8005085,True,,3
10.1109/lics.2017.8005086,True,,5
10.1109/lics.2017.8005088,True,,30
10.1109/lics.2017.8005090,True,,2
10.1109/lics.2017.8005091,True,,4
10.1109/lics.2017.8005092,True,,31
10.1109/lics.2017.8005093,True,,12
10.1109/lics.2017.8005094,True,,2
10.1109/lics.2017.8005096,True,,9
10.1109/lics.2017.8005097,True,,25
10.1109/lics.2017.8005099,True,,0
10.1109/lics.2017.8005100,True,,7
10.1109/lics.2017.8005101,True,,15
10.1109/lics.2017.8005102,True,,18
10.1109/lics.2017.8005104,True,,6
10.1109/lics.2017.8005105,True,,6
10.1109/lics.2017.8005106,True,,4
10.1109/lics.2017.8005108,True,,7
10.1109/lics.2017.8005109,True,,7
10.1109/lics.2017.8005110,True,,1
10.1109/lics.2017.8005111,True,,10
10.1109/lics.2017.8005112,True,,4
10.1109/lics.2017.8005113,True,,18
10.1109/lics.2017.8005114,True,,13
10.1109/lics.2017.8005115,True,,2
10.1109/lics.2017.8005119,True,,2
10.1109/lics.2017.8005120,True,,5
10.1109/lics.2017.8005121,True,,4
10.1109/lics.2017.8005122,True,,3
10.1109/lics.2017.8005124,True,,11
10.1109/lics.2017.8005125,True,,3
10.1109/lics.2017.8005127,True,,4
10.1109/lics.2017.8005128,True,,14
10.1109/lics.2017.8005129,True,,21
10.1109/lics.2017.8005130,True,,15
10.1109/lics.2017.8005131,True,,6
10.1109/lics.2017.8005132,True,,7
10.1109/lics.2017.8005134,True,,5
10.1109/lics.2017.8005135,True,,3
10.1109/lics.2017.8005137,True,,70
10.1109/lics.2017.8005138,True,,4
10.1109/lics.2017.8005139,True,,2
10.1109/lics.2017.8005140,True,,8
10.1109/lics.2017.8005141,True,,27
10.1109/lics.2017.8005142,True,,7
10.1109/lics.2017.8005143,True,,3
10.1109/lics.2017.8005144,True,,4
10.1109/lics.2017.8005145,True,,1
10.1109/lics.2017.8005146,True,,10
10.1109/lics.2017.8005147,True,,10
10.1109/lics.2017.8005148,True,,0
10.1109/lics.2017.8005151,True,,8
10.1109/lics.2017.8005152,True,,2
10.1109/lics.2017.8005153,True,,17
10.1109/lics.2019.8785655,True,,6
10.1109/lics.2019.8785656,True,,4
10.1109/lics.2019.8785657,True,,9
10.1109/lics.2019.8785658,True,,1
10.1109/lics.2019.8785659,True,,7
10.1109/lics.2019.8785660,True,,3
10.1109/lics.2019.8785661,True,,5
10.1109/lics.2019.8785664,True,,7
10.1109/lics.2019.8785665,True,,41
10.1109/lics.2019.8785666,True,,0
10.1109/lics.2019.8785667,True,,1
10.1109/lics.2019.8785668,True,,17
10.1109/lics.2019.8785669,True,,1
10.1109/lics.2019.8785670,True,,9
10.1109/lics.2019.8785671,True,,5
10.1109/lics.2019.8785672,True,,0
10.1109/lics.2019.8785674,True,,2
10.1109/lics.2019.8785676,True,,11
10.1109/lics.2019.8785677,True,,12
10.1109/lics.2019.8785678,True,,1
10.1109/lics.2019.8785680,True,,3
10.1109/lics.2019.8785681,True,,6
10.1109/lics.2019.8785682,True,,13
10.1109/lics.2019.8785683,True,,13
10.1109/lics.2019.8785684,True,,2
10.1109/lics.2019.8785687,True,,0
10.1109/lics.2019.8785694,True,,11
10.1109/lics.2019.8785699,True,,11
10.1109/lics.2019.8785700,True,,6
10.1109/lics.2019.8785708,True,,11
10.1109/lics.2019.8785713,True,,36
10.1109/lics.2019.8785715,True,,17
10.1109/lics.2019.8785725,True,,15
10.1109/lics.2019.8785736,True,,0
10.1109/lics.2019.8785748,True,,1
10.1109/lics.2019.8785754,True,,7
10.1109/lics.2019.8785762,True,,1
10.1109/lics.2019.8785765,True,,28
10.1109/lics.2019.8785779,True,,17
10.1109/lics.2019.8785784,True,,8
10.1109/lics.2019.8785792,True,,3
10.1109/lics.2019.8785796,True,,40
10.1109/lics.2019.8785809,True,,8
10.1109/lics.2019.8785811,True,,4
10.1109/lics.2019.8785823,True,,4
10.1109/lics.2019.8785827,True,,6
10.1109/lics.2019.8785830,True,,8
10.1109/lics.2019.8785834,True,,10
10.1109/lics.2019.8785848,True,,4
10.1109/lics.2019.8785850,True,,9
10.1109/lics.2019.8785877,True,,25
10.1109/lics.2019.8785883,True,,6
10.1109/lics.2019.8785892,True,,0
