source_split,id,title,score,p1,p2,p3,p4,p5,source,text_out,error
train,58,A refined operational semantics for FreeCHR.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,59,VECSR: Virtually Embodied Common Sense Reasoning System.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,60,A framework for Conditional Reasoning in Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,61,The ASP-based Nurse Scheduling System at the University of Yamanashi Hospital.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,62,Machine Learning Model Integration with Open World Temporal Logic for Process Automation.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,63,Interpretable Hybrid Machine Learning Models Using FOLD-R++ and Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,64,An ASP-Based Framework for MUSes.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,65,A Simple and Effective ASP-Based Tool for Enumerating Minimal Hitting Sets.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,66,Reasoning about Medical Triage Optimization with Logic Programming.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,67,Picat Through the Lens of Advent of Code.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,68,An LLM + ASP Workflow for Joint Entity-Relation Extraction.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,69,Extracting Policies from Quantified Answer Set Programs.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,70,Logic Programming with Extensible Types.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,71,Logic Tensor Network-Enhanced Generative Adversarial Network.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,72,Defeasible Conditionals using Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,73,Fixpoint Semantics for DatalogMTL with Negation.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,74,On the Trap Space Semantics of Normal Logic Programs.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,75,"XAI-LAW: A Logic Programming Tool for Modeling, Explaining, and Learning Legal Decisions.",5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,76,Formally Explaining Decision Tree Models with Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,77,xDNN(ASP): Explanation Generation System for Deep Neural Networks powered by Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,78,Implementing the First-Order Logic of Here and There.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,79,Automated Theorem Proving for Prolog Verification.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,80,Investigating the Grounding Bottleneck for a Large-Scale Configuration Problem: Existing Tools and Constraint-Aware Guessing.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,81,On Zeno-like Behaviors in the Event Calculus with Goal-directed Answer Set Programming.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,82,Inductive First-Order Formula Synthesis by ASP: A Case Study in Invariant Inference.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,83,Correcting Autonomous Driving Object Detection Misclassifications with Automated Commonsense Reasoning.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,84,Propositional Abduction via Only-Knowing: A Non-Monotonic Approach.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,85,Hybrid MKNF for Aeronautics Applications: Usage and Heuristics.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,86,An ASP-based Solution to the Medical Appointment Scheduling Problem.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,87,"Proceedings of the 9th Workshop on Advances in Argumentation in Artificial Intelligence (AI3 2025) co-located with the 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 13, 2025.",1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,88,"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025.",1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,89,"Proceedings 40th International Conference on Logic Programming, ICLP 2024, University of Texas at Dallas, Dallas Texas, USA, October 14-17 2024.",5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,90,Solving Argumentation Problems Using Answer Set Programming with Quantifiers: Preliminary Report.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,91,Computational Thinking with Logic Programming.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,92,Neuro-Symbolic Agent with ASP for Robust Exception Learning in Text-Based Games.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,93,Efficient Compliance Computation in Probabilistic Declarative Specifications.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,94,A First Journey into the Complexity of Statistical Statements in Probabilistic Answer Set Programming.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,95,Statistical Syllogistic Tableaux.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,96,Bringing Logic Programming to primary school: a teacher training course.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,97,Causally Constrained Counterfactual Generation using ASP.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,98,On Teaching Constraint-based Modeling and Algorithms for Decision Support in Prolog.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,99,Extended abstract: 푓퐶퐴푆푃 - A forgetting technique for XAI based on goal-directed constraint ASP models.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,100,General Game Playing - Killer App for Logic Programming.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,101,Automated Playing of Survival Video Games with Commonsense Reasoning.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,102,Teaching Pure LP with Prolog and a Fair Search Rule.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,103,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,104,Generative Logic: Teaching Prolog as Generative AI in Art and Design.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,105,Adapting Approximation Fixpoint Theory to Nondeterministic Hybrid Reasoning.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,106,A Neurosymbolic Framework for Bias Correction in Convolutional Neural Networks.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,107,Controlled Natural Language Models.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,108,From Logic Programming to Programming in Logica: A First-Course in Declarative Data Science &amp; Engineering.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,109,On Teaching Logic Programming in the Era of Generative AI.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,110,Autonomous Task Completion Based on Goal-directed Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,111,"Integrating SMT solvers into Goal-Directed Answer Set Programming, Challenges and Directions.",5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,112,Extended Abstract: Early Validation of High-level System Requirements with Event Calculus and Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,113,Democratising Access to Logic Programming: A Web Application Design Tool for Querying Prolog Code.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,114,Teaching Prolog through Grammars.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,115,Extended Abstract: A Reliable Common-Sense Reasoning Socialbot Built Using LLMs and Goal-Directed ASP.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,116,Regular Typed Unification.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,117,LLM+Reasoning+Planning for supporting incomplete user queries in presence of APIs.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,118,Geospatial Trajectory Generation via Efficient Abduction: Deployment for Independent Testing.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,119,Logical Lease Litigation: Prolog and LLMs for Rental Law Compliance in New York.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,120,Counterfactual Explanations as Plans.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,121,Efficient OWL2QL Meta-reasoning Using ASP-based Hybrid Knowledge Bases.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,122,Autonomous Task Completion Based on Goal-directed Answer Set Programming.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,123,On LLM-generated Logic Programs and their Inference Execution Methods.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,124,Visual Graph Question Answering with ASP and LLMs for Language Parsing.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,125,LP-LM: No Hallucinations in Question Answering with Logic Programming.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,126,Neuro-Symbolic Contrastive Learning for Cross-domain Inference.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,127,Architecture for Simulating Behavior Mode Changes in Norm-Aware Autonomous Agents.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,128,"Mind the Gaps: Logical English, Prolog, and Multi-agent Systems for Autonomous Vehicles.",3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,129,Modular Stochastic Rewritable Petri Nets.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,130,Data2Concept2Text: An Explainable Multilingual Framework for Data Analysis Narration.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,131,Abduction of Domain Relationships from Data for VQA.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,132,"Graphical Conditions for the Existence, Unicity and Number of Regular Models.",5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,133,Pearce&apos;s Characterisation in an Epistemic Domain.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,134,ASP-driven User-interaction with Clinguin.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,135,A Prolog Program for Bottom-up Evaluation.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,136,Order-Sorted Intensional Logic: Expressing Subtyping Polymorphism with Typing Assertions and Quantification over Concepts.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,137,A Coq Formalization of Unification Modulo Exclusive-Or.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,138,Generating Causally Compliant Counterfactual Explanations using ASP.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,139,Bridging Logic Programming and Deep Learning for Explainability through ILASP.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,140,Computational methods for Dynamic Answer Set Programming.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,141,Relating Answer Set Programming and Many-sorted Logics for Formal Verification.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,142,Answer Set Counting and its Applications.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,143,Logical foundations of Smart Contracts.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,144,Commonsense Reasoning-Aided Autonomous Vehicle Systems.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,145,A Category-Theoretic Perspective on Approximation Fixpoint Theory.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,146,Hybrid Answer Set Programming: Foundations and Applications.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,147,Early Validation of High-level Requirements on Cyber-Physical Systems.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,148,Reliable Conversational Agents under ASP Control that Understand Natural Language.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,149,"Workshop Proceedings of the 40th International Conference on Logic Programming (ICLP-WS 2024) co-located with the 40th International Conference on Logic Programming (ICLP 2024), Dallas, TX, USA, October 12th and 13th, 2024.",4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,150,Preferential Reasoning with Typicality in ASP over Weighted Argumentation Graphs in a Gradual Semantics.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,151,Introducing ASP recipes and ASP Chef.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,152,Sampling and probabilistic inference in D/Slps.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,153,On the impact of sensors update in declarative AI for videogames.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,154,Value awareness and process automation: a reflection through school place allocation models.,2.0,0.0,1.0,0.0,0.0,0.0,logprobs,2,
train,155,A Brief Discussion about the Credal Semantics for Probabilistic Answer Set Programs.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,156,Link Prediction in Knowledge Graphs with Probabilistic Logic Programming: Work in Progress.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,157,Routing and Scheduling in different ways: Abridged Preliminary Report.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,158,Geometric reasoning on the Traveling Salesperson Problem: comparing Answer Set Programming and Constraint Logic Programming Approaches.,4.0,0.0,0.0,0.0,1.0,0.0,logprobs,4,
train,159,Semantically Guided Scene Generation via Contextual Reasoning and Algebraic Measures.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,160,Past-present temporal programs over finite traces: a preliminary report.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,161,Explanation Graphs for Stable Models of Labelled Logic Programs.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,162,Recursive Aggregates as Intensional Functions.,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,163,Reasoning about Study Regulations in Answer Set Programming (Preliminary Report).,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,164,Expanding the Class of Polynomial Time Computable Well-Founded Semantics for Hybrid MKNF.,3.0,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,3,
train,165,Legal Compliance Checking of Autonomous Driving with Formalized Traffic Rule Exceptions.,2.0,1.9287498933537385e-22,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,2,
train,166,Building Blawx.,1.0,1.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,logprobs,1,
train,167,Modelling Cyber Defenses using s(CASP).,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,168,Semantic Analysis of Assurance Cases using s(CASP).,5.0,0.0,0.0,0.0,0.0,1.0,logprobs,5,
train,169,How well do SOTA legal reasoning models support abductive reasoning?,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,170,Beyond Logic Programming for Legal Reasoning.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
train,171,NeSyFOLD: Extracting Logic Programs from Convolutional Neural Networks.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,172,A Dataset of Contractual Events in Court Decisions.,1.0,1.0,0.0,0.0,0.0,0.0,logprobs,1,
train,173,asymptoticplp: Approximating probabilistic logic programs on large domains.,4.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,1.9287498933537385e-22,logprobs,4,
train,174,Argument analysis using Answer Set Programming and Semantics-guided Large Language Models.,5.0,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.9287498933537385e-22,1.0,logprobs,5,
train,175,On the Subtlety of Causal Reasoning in Probabilistic Logic Programming: A Bug Report about the Causal Interpretation of Annotated Disjunctions.,3.0,0.0,0.0,1.0,0.0,0.0,logprobs,3,
