name,kind,c,weight,threshold_lambda,oof_qwk,oof_lift_vs_step25,test_l1,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,thresholds
step25_rubric_lr_c2p0_blend_w0p0025_l0p5,label_blend,2.0,0.0025,0.5,0.6596372434119584,-0.001623314967274525,0.1723976469701781,"{1: 123, 2: 63, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 68, 3: 40, 4: 31, 5: 23}",33,13,20,-0.21212121212121213,1,8,3,8,"1.902631,2.527866,3.244063,4.080830"
step25_rubric_lr_c1p0_blend_w0p0050_l0p5,label_blend,1.0,0.005,0.5,0.6596336003443295,-0.0016269580349034252,0.18917617046011098,"{1: 126, 2: 64, 3: 53, 4: 33, 5: 22}","{1: 139, 2: 66, 3: 42, 4: 29, 5: 22}",90,43,47,-0.044444444444444446,0,21,12,16,"1.920440,2.554239,3.280246,4.123310"
step25_rubric_lr_c2p0_blend_w0p0300_l1p0,label_blend,2.0,0.03,1.0,0.6596266999936267,-0.0016338583856062572,0.1824647610641378,"{1: 125, 2: 63, 3: 54, 4: 35, 5: 21}","{1: 140, 2: 65, 3: 43, 4: 28, 5: 22}",80,37,43,-0.075,0,20,11,18,"1.934112,2.546119,3.246668,4.085155"
step25_rubric_lr_c1p0_blend_w0p0100_l0p5,label_blend,1.0,0.01,0.5,0.6595194652187492,-0.0017410931604837643,0.19253187515809758,"{1: 127, 2: 63, 3: 52, 4: 35, 5: 21}","{1: 143, 2: 63, 3: 41, 4: 29, 5: 22}",104,49,55,-0.057692307692307696,0,23,13,21,"1.933888,2.563579,3.257167,4.120653"
step25_rubric_lr_c2p0_blend_w0p0200_l2p0,label_blend,2.0,0.02,2.0,0.6594872443039744,-0.001773314075258492,0.17910905636615126,"{1: 125, 2: 63, 3: 53, 4: 36, 5: 21}","{1: 141, 2: 63, 3: 41, 4: 31, 5: 22}",73,33,40,-0.0958904109589041,0,16,10,15,"1.925683,2.541576,3.238409,4.097215"
step25_rubric_lr_c0p5_blend_w0p0200_l0p5,label_blend,0.5,0.02,0.5,0.6594791690283044,-0.0017813893509285306,0.189176170460111,"{1: 125, 2: 64, 3: 53, 4: 35, 5: 21}","{1: 139, 2: 67, 3: 41, 4: 29, 5: 22}",78,35,43,-0.10256410256410256,0,19,12,17,"1.923242,2.554992,3.254064,4.096314"
step25_rubric_lr_c2p0_blend_w0p0050_l0p5,label_blend,2.0,0.005,0.5,0.6594414083412938,-0.001819150037939088,0.19253187515809755,"{1: 126, 2: 65, 3: 52, 4: 33, 5: 22}","{1: 139, 2: 66, 3: 42, 4: 29, 5: 22}",92,43,49,-0.06521739130434782,0,18,13,16,"1.921215,2.564525,3.272161,4.108108"
step25_rubric_lr_c1p0_blend_w0p0025_l0p5,label_blend,1.0,0.0025,0.5,0.659425442546643,-0.0018351158325898842,0.1723976469701781,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 31, 5: 23}",47,21,26,-0.10638297872340426,0,10,5,10,"1.912159,2.532903,3.250457,4.084629"
step25_rubric_lr_c2p0_blend_w0p0075_l0p5,label_blend,2.0,0.0075,0.5,0.6593783674837344,-0.00188219089549857,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 136, 2: 68, 3: 42, 4: 30, 5: 22}",50,22,28,-0.12,1,11,6,11,"1.912162,2.539342,3.251374,4.074705"
step25_rubric_lr_c2p0_blend_w0p0050_l2p0,label_blend,2.0,0.005,2.0,0.6593672465165579,-0.0018933118626750511,0.1858204657621244,"{1: 126, 2: 63, 3: 53, 4: 34, 5: 22}","{1: 139, 2: 66, 3: 42, 4: 29, 5: 22}",71,33,38,-0.07042253521126761,0,12,10,16,"1.919309,2.547268,3.257163,4.102047"
step25_rubric_lr_c2p0_blend_w0p0300_l2p0,label_blend,2.0,0.03,2.0,0.6593653704591634,-0.0018951879200694854,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 36, 5: 21}","{1: 140, 2: 64, 3: 41, 4: 31, 5: 22}",75,32,43,-0.14666666666666667,2,14,9,14,"1.931985,2.537454,3.230783,4.058352"
step25_rubric_lr_c1p0_blend_w0p0075_l1p0,label_blend,1.0,0.0075,1.0,0.6593246156032806,-0.0019359427759523262,0.1858204657621244,"{1: 126, 2: 63, 3: 52, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 41, 4: 30, 5: 22}",74,33,41,-0.10810810810810811,0,13,9,15,"1.922177,2.546862,3.252483,4.094278"
step25_rubric_lr_c0p5_blend_w0p0050_l1p0,label_blend,0.5,0.005,1.0,0.6593200063466902,-0.0019405520325427306,0.18917617046011098,"{1: 126, 2: 64, 3: 52, 4: 34, 5: 22}","{1: 139, 2: 66, 3: 42, 4: 29, 5: 22}",74,34,40,-0.08108108108108109,0,13,11,16,"1.918847,2.552218,3.256891,4.099479"
step25_rubric_lr_c1p0_blend_w0p0100_l4p0,label_blend,1.0,0.01,4.0,0.6592996585807663,-0.0019608997984665866,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 32, 5: 22}",62,28,34,-0.0967741935483871,0,13,6,12,"1.920402,2.541899,3.243577,4.097008"
step25_rubric_lr_c0p5_blend_w0p0075_l1p0,label_blend,0.5,0.0075,1.0,0.6592959455599228,-0.001964612819310152,0.1858204657621244,"{1: 126, 2: 63, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 30, 5: 22}",69,32,37,-0.07246376811594203,0,15,9,14,"1.919953,2.544737,3.253701,4.106427"
step25_rubric_lr_c2p0_blend_w0p0300_l4p0,label_blend,2.0,0.03,4.0,0.6592940992342371,-0.0019664591449958246,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 36, 5: 21}","{1: 140, 2: 64, 3: 41, 4: 31, 5: 22}",77,33,44,-0.14285714285714285,2,14,9,14,"1.934095,2.539248,3.231333,4.057572"
step25_rubric_lr_c1p0_blend_w0p0150_l0p5,label_blend,1.0,0.015,0.5,0.6592716891126187,-0.001988869266614235,0.18917617046011098,"{1: 127, 2: 62, 3: 53, 4: 36, 5: 20}","{1: 140, 2: 66, 3: 41, 4: 30, 5: 21}",97,47,50,-0.030927835051546393,0,24,13,19,"1.928246,2.559392,3.263753,4.131704"
step25_reference_retuned_l4p0,reference,0.0,0.0,4.0,0.6592645386113754,-0.001996019767857571,0.17575335166816466,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 31, 5: 23}",51,23,28,-0.09803921568627451,0,9,7,11,"1.913118,2.537429,3.247843,4.091386"
step25_reference_retuned_l1p0,reference,0.0,0.0,1.0,0.6592579649983934,-0.0020025933808395235,0.18917617046011098,"{1: 126, 2: 64, 3: 51, 4: 35, 5: 22}","{1: 140, 2: 65, 3: 41, 4: 30, 5: 22}",72,33,39,-0.08333333333333333,0,15,10,16,"1.916589,2.549673,3.259179,4.117900"
step25_rubric_lr_c0p25_blend_w0p0150_l1p0,label_blend,0.25,0.015,1.0,0.6592178333266923,-0.0020427250525406615,0.18917617046011095,"{1: 127, 2: 62, 3: 53, 4: 35, 5: 21}","{1: 140, 2: 66, 3: 41, 4: 29, 5: 22}",90,42,48,-0.06666666666666667,0,22,12,18,"1.929484,2.554022,3.257781,4.112206"
step25_rubric_lr_c0p5_blend_w0p0200_l4p0,label_blend,0.5,0.02,4.0,0.6591766213631487,-0.002083937016084225,0.18246476106413784,"{1: 127, 2: 61, 3: 53, 4: 35, 5: 22}","{1: 141, 2: 64, 3: 40, 4: 31, 5: 22}",77,33,44,-0.14285714285714285,1,14,9,16,"1.931422,2.541884,3.239286,4.064046"
step25_rubric_lr_c1p0_blend_w0p0100_l2p0,label_blend,1.0,0.01,2.0,0.6591514838001915,-0.0021090745790414145,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 32, 5: 22}",57,25,32,-0.12280701754385964,0,12,6,12,"1.919017,2.541368,3.245174,4.083440"
step25_reference_retuned_l2p0,reference,0.0,0.0,2.0,0.6591453734469344,-0.002115184932298564,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 31, 5: 23}",47,20,27,-0.14893617021276595,0,9,6,11,"1.911488,2.536923,3.246494,4.091720"
step25_rubric_lr_c0p5_blend_w0p0300_l1p0,label_blend,0.5,0.03,1.0,0.6591197783491498,-0.0021407800300831115,0.1723976469701781,"{1: 123, 2: 64, 3: 52, 4: 38, 5: 21}","{1: 138, 2: 65, 3: 40, 4: 33, 5: 22}",78,32,46,-0.1794871794871795,5,14,11,11,"1.922339,2.528418,3.219216,4.048184"
step25_rubric_lr_c2p0_blend_w0p0150_l0p5,label_blend,2.0,0.015,0.5,0.6591189139283161,-0.002141644450916802,0.19253187515809755,"{1: 127, 2: 63, 3: 51, 4: 35, 5: 22}","{1: 141, 2: 65, 3: 37, 4: 33, 5: 22}",80,34,46,-0.15,2,13,11,15,"1.928100,2.562978,3.228850,4.070837"
step25_reference_retuned_l0p5,reference,0.0,0.0,0.5,0.659085391810265,-0.002175166568967879,0.1824647610641378,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 39, 4: 31, 5: 23}",61,27,34,-0.11475409836065574,0,12,8,12,"1.916176,2.544011,3.252645,4.093916"
step25_rubric_lr_c1p0_blend_w0p0300_l4p0,label_blend,1.0,0.03,4.0,0.659084290242645,-0.002176268136587889,0.17239764697017812,"{1: 125, 2: 62, 3: 54, 4: 36, 5: 21}","{1: 139, 2: 64, 3: 42, 4: 31, 5: 22}",76,31,45,-0.18421052631578946,3,14,9,12,"1.932547,2.532691,3.229947,4.053506"
step25_rubric_lr_c0p25_blend_w0p0075_l4p0,label_blend,0.25,0.0075,4.0,0.6590657858002209,-0.0021947725790120165,0.1757533516681647,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 39, 4: 33, 5: 22}",56,24,32,-0.14285714285714285,0,11,7,10,"1.920243,2.540553,3.242211,4.083534"
step25_rubric_lr_c0p25_blend_w0p0300_l0p5,label_blend,0.25,0.03,0.5,0.6590655109794672,-0.002195047399765726,0.17239764697017812,"{1: 125, 2: 62, 3: 54, 4: 36, 5: 21}","{1: 139, 2: 64, 3: 42, 4: 31, 5: 22}",80,33,47,-0.175,4,17,9,12,"1.930965,2.537585,3.231703,4.052467"
step25_rubric_lr_c1p0_blend_w0p0025_l1p0,label_blend,1.0,0.0025,1.0,0.6590551363469253,-0.002205422032307669,0.17910905636615124,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 32, 5: 23}",50,20,30,-0.2,1,9,8,10,"1.914642,2.538616,3.242147,4.082925"
step25_rubric_lr_c0p25_blend_w0p0150_l0p5,label_blend,0.25,0.015,0.5,0.6590151903910639,-0.002245367988168989,0.17910905636615126,"{1: 125, 2: 63, 3: 53, 4: 38, 5: 19}","{1: 138, 2: 66, 3: 40, 4: 34, 5: 20}",77,36,41,-0.06493506493506493,0,21,10,13,"1.920912,2.538237,3.241077,4.136955"
step25_rubric_lr_c0p5_blend_w0p0075_l0p5,label_blend,0.5,0.0075,0.5,0.6590038041334167,-0.0022567542458161727,0.1757533516681647,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 39, 4: 33, 5: 22}",56,23,33,-0.17857142857142858,0,11,7,10,"1.919254,2.541518,3.235505,4.103241"
step25_rubric_lr_c1p0_blend_w0p0075_l0p5,label_blend,1.0,0.0075,0.5,0.6590038041334167,-0.0022567542458161727,0.1757533516681647,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 39, 4: 33, 5: 22}",56,23,33,-0.17857142857142858,0,11,7,10,"1.919254,2.541518,3.235505,4.103241"
step25_rubric_lr_c0p25_blend_w0p0050_l0p5,label_blend,0.25,0.005,0.5,0.6589623041754817,-0.002298254203751182,0.17239764697017806,"{1: 124, 2: 62, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 68, 3: 38, 4: 34, 5: 22}",39,14,25,-0.28205128205128205,2,9,4,9,"1.906137,2.526325,3.225111,4.096281"
step25_rubric_lr_c2p0_blend_w0p0025_l2p0,label_blend,2.0,0.0025,2.0,0.658956705074075,-0.0023038533051579213,0.17910905636615124,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 32, 5: 22}",57,25,32,-0.12280701754385964,0,10,8,12,"1.915529,2.538867,3.251098,4.090581"
step25_rubric_lr_c2p0_blend_w0p0025_l1p0,label_blend,2.0,0.0025,1.0,0.658946252226311,-0.002314306152921941,0.17910905636615124,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 32, 5: 23}",51,20,31,-0.21568627450980393,1,9,8,10,"1.914642,2.538616,3.242147,4.082925"
step25_rubric_lr_c2p0_blend_w0p0075_l1p0,label_blend,2.0,0.0075,1.0,0.6589442256687881,-0.002316332710444846,0.18917617046011098,"{1: 126, 2: 64, 3: 51, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 41, 4: 30, 5: 22}",73,33,40,-0.0958904109589041,0,12,10,15,"1.921077,2.555652,3.252928,4.089723"
step25_rubric_lr_c0p5_blend_w0p0050_l0p5,label_blend,0.5,0.005,0.5,0.6589202691890749,-0.0023402891901580514,0.1791090563661512,"{1: 126, 2: 62, 3: 55, 4: 33, 5: 22}","{1: 139, 2: 65, 3: 43, 4: 29, 5: 22}",78,36,42,-0.07692307692307693,0,20,10,15,"1.918348,2.539892,3.275652,4.120557"
step25_rubric_lr_c0p5_blend_w0p0025_l4p0,label_blend,0.5,0.0025,4.0,0.6589132200799332,-0.0023473382992996727,0.17910905636615126,"{1: 125, 2: 63, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 31, 5: 23}",51,22,29,-0.13725490196078433,0,10,7,11,"1.914367,2.538521,3.246944,4.087078"
step25_rubric_lr_c1p0_blend_w0p0025_l2p0,label_blend,1.0,0.0025,2.0,0.6588947027349465,-0.0023658556442863743,0.18246476106413784,"{1: 125, 2: 63, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 39, 4: 32, 5: 22}",55,24,31,-0.12727272727272726,0,10,7,13,"1.914415,2.544564,3.250224,4.089008"
step25_rubric_lr_c1p0_blend_w0p0300_l0p5,label_blend,1.0,0.03,0.5,0.6588881164874341,-0.00237244189179886,0.17575335166816466,"{1: 126, 2: 61, 3: 55, 4: 35, 5: 21}","{1: 141, 2: 63, 3: 44, 4: 28, 5: 22}",85,35,50,-0.17647058823529413,1,18,11,18,"1.942627,2.540682,3.254535,4.072207"
step25_rubric_lr_c0p5_blend_w0p0300_l2p0,label_blend,0.5,0.03,2.0,0.6588553174949917,-0.002405240884241211,0.17239764697017812,"{1: 125, 2: 62, 3: 52, 4: 38, 5: 21}","{1: 139, 2: 64, 3: 40, 4: 33, 5: 22}",78,31,47,-0.20512820512820512,5,15,11,12,"1.930365,2.532149,3.218086,4.051421"
step25_rubric_lr_c0p25_blend_w0p0100_l4p0,label_blend,0.25,0.01,4.0,0.6588368108678062,-0.0024237475114267104,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 33, 5: 22}",52,20,32,-0.23076923076923078,1,11,6,11,"1.919398,2.535697,3.238206,4.077465"
step25_rubric_lr_c1p0_blend_w0p0050_l1p0,label_blend,1.0,0.005,1.0,0.6588275568012238,-0.0024330015780090752,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",52,21,31,-0.19230769230769232,1,10,6,11,"1.916458,2.532693,3.246428,4.078983"
step25_rubric_lr_c2p0_blend_w0p0150_l4p0,label_blend,2.0,0.015,4.0,0.6588192655861906,-0.0024412927930422823,0.17575335166816466,"{1: 127, 2: 60, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 64, 3: 39, 4: 33, 5: 22}",66,27,39,-0.18181818181818182,1,12,8,12,"1.925151,2.538290,3.236605,4.080585"
step25_rubric_lr_c1p0_blend_w0p0075_l2p0,label_blend,1.0,0.0075,2.0,0.6588105817843459,-0.0024499765948869934,0.17910905636615124,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 40, 4: 32, 5: 22}",66,29,37,-0.12121212121212122,0,12,8,12,"1.921544,2.542450,3.245176,4.087445"
step25_rubric_lr_c1p0_blend_w0p0150_l1p0,label_blend,1.0,0.015,1.0,0.6587486307665467,-0.00251192761268626,0.17910905636615124,"{1: 127, 2: 61, 3: 53, 4: 35, 5: 22}","{1: 140, 2: 64, 3: 40, 4: 32, 5: 22}",73,31,42,-0.1506849315068493,1,13,9,13,"1.926390,2.544451,3.238377,4.080566"
step25_rubric_lr_c0p5_blend_w0p0100_l1p0,label_blend,0.5,0.01,1.0,0.6587423104374844,-0.002518247941748486,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 36, 5: 21}","{1: 139, 2: 65, 3: 40, 4: 32, 5: 22}",65,29,36,-0.1076923076923077,0,18,7,12,"1.920458,2.537330,3.242361,4.116024"
step25_rubric_lr_c1p0_blend_w0p0075_l4p0,label_blend,1.0,0.0075,4.0,0.6587092978181068,-0.0025512605611260897,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",56,24,32,-0.14285714285714285,0,11,6,11,"1.918040,2.540191,3.243197,4.093081"
step25_rubric_lr_c0p25_blend_w0p0200_l0p5,label_blend,0.25,0.02,0.5,0.6586914808985862,-0.00256907748064672,0.18582046576212438,"{1: 126, 2: 62, 3: 54, 4: 35, 5: 21}","{1: 141, 2: 65, 3: 41, 4: 29, 5: 22}",77,33,44,-0.14285714285714285,0,17,10,19,"1.928024,2.552257,3.253434,4.085156"
step25_rubric_lr_c0p5_blend_w0p0300_l4p0,label_blend,0.5,0.03,4.0,0.658675764188208,-0.002584794191024975,0.17239764697017812,"{1: 125, 2: 62, 3: 54, 4: 36, 5: 21}","{1: 139, 2: 64, 3: 41, 4: 32, 5: 22}",78,31,47,-0.20512820512820512,3,15,9,11,"1.932389,2.535176,3.228628,4.051831"
step25_rubric_lr_c2p0_blend_w0p0075_l4p0,label_blend,2.0,0.0075,4.0,0.6586714792158688,-0.0025890791633641497,0.1757533516681647,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",57,24,33,-0.15789473684210525,0,11,7,11,"1.918410,2.540735,3.243141,4.085785"
step25_rubric_lr_c0p25_blend_w0p0075_l2p0,label_blend,0.25,0.0075,2.0,0.6586629311036691,-0.0025976272755637853,0.1858204657621244,"{1: 126, 2: 63, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 39, 4: 32, 5: 22}",66,28,38,-0.15151515151515152,0,13,9,12,"1.921015,2.544305,3.247016,4.096533"
step25_rubric_lr_c0p5_blend_w0p0150_l1p0,label_blend,0.5,0.015,1.0,0.6586480427443606,-0.0026125156348723033,0.17575335166816466,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 33, 5: 22}",65,25,40,-0.23076923076923078,2,12,7,11,"1.923489,2.535444,3.234903,4.062892"
step25_rubric_lr_c0p5_blend_w0p0050_l4p0,label_blend,0.5,0.005,4.0,0.6586479742632114,-0.002612584116021499,0.17910905636615126,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",56,23,33,-0.17857142857142858,0,11,8,11,"1.917418,2.540248,3.244224,4.085544"
step25_rubric_lr_c2p0_blend_w0p0025_l4p0,label_blend,2.0,0.0025,4.0,0.6586429456584009,-0.002617612720832052,0.1824647610641378,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 39, 4: 32, 5: 22}",56,24,32,-0.14285714285714285,0,10,8,13,"1.914513,2.540901,3.248571,4.093644"
step25_rubric_lr_c0p25_blend_w0p0025_l1p0,label_blend,0.25,0.0025,1.0,0.6586187609363532,-0.002641797442879734,0.1723976469701781,"{1: 126, 2: 60, 3: 55, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 33, 5: 22}",48,19,29,-0.20833333333333334,0,9,6,11,"1.914725,2.536143,3.240886,4.092682"
step25_rubric_lr_c1p0_blend_w0p0200_l2p0,label_blend,1.0,0.02,2.0,0.65861008058655,-0.0026504777926829037,0.16904194227219155,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 141, 2: 62, 3: 43, 4: 30, 5: 22}",70,29,41,-0.17142857142857143,1,13,7,15,"1.927338,2.535761,3.241970,4.065184"
step25_rubric_lr_c0p25_blend_w0p0075_l1p0,label_blend,0.25,0.0075,1.0,0.6586051558305966,-0.0026554025486362764,0.18582046576212438,"{1: 125, 2: 64, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 39, 4: 32, 5: 22}",61,26,35,-0.14754098360655737,1,12,8,12,"1.917784,2.544866,3.245272,4.079325"
step25_rubric_lr_c2p0_blend_w0p0150_l2p0,label_blend,2.0,0.015,2.0,0.6586050214608016,-0.002655536918431345,0.17575335166816466,"{1: 127, 2: 60, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 64, 3: 39, 4: 33, 5: 22}",64,26,38,-0.1875,0,12,8,12,"1.924858,2.534303,3.236865,4.089079"
step25_rubric_lr_c0p25_blend_w0p0050_l4p0,label_blend,0.25,0.005,4.0,0.6586043150848081,-0.0026562432944248204,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",55,23,32,-0.16363636363636364,0,10,6,11,"1.916747,2.537223,3.246588,4.098979"
step25_rubric_lr_c2p0_blend_w0p0100_l4p0,label_blend,2.0,0.01,4.0,0.658585217324666,-0.0026753410545669043,0.1757533516681647,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 33, 5: 22}",53,20,33,-0.24528301886792453,1,11,6,11,"1.919410,2.531684,3.238645,4.080161"
step25_rubric_lr_c0p25_blend_w0p0025_l0p5,label_blend,0.25,0.0025,0.5,0.6585780432600613,-0.0026825151191716134,0.18246476106413784,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 140, 2: 65, 3: 40, 4: 31, 5: 22}",70,31,39,-0.11428571428571428,0,14,8,15,"1.920356,2.541227,3.255233,4.106393"
step25_rubric_lr_c0p5_blend_w0p0025_l0p5,label_blend,0.5,0.0025,0.5,0.6585780432600613,-0.0026825151191716134,0.18246476106413784,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 140, 2: 65, 3: 40, 4: 31, 5: 22}",70,31,39,-0.11428571428571428,0,14,8,15,"1.920356,2.541227,3.255233,4.106393"
step25_rubric_lr_c0p5_blend_w0p0025_l1p0,label_blend,0.5,0.0025,1.0,0.6585432925403023,-0.002717265838930616,0.1824647610641378,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 66, 3: 39, 4: 32, 5: 22}",50,20,30,-0.2,0,9,8,13,"1.914794,2.544418,3.243115,4.089823"
