first_author_token,test_count,public_count,private_count,predicted_labels,prediction_mean,train_count,unique_train_labels,train_label_min,train_label_max,train_label_mean,train_labels,seen_in_train,single_train_label_repeated_test,single_train_label5_repeated_test,pure_author_repeated_test,all_predictions_match_only_train_label
first_author_eiter,3,3,0,"3,5",4.333333333333333,4,3,3.0,5.0,4.0,"3,4,5",True,False,False,False,False
first_author_li,3,3,0,"2,3,5",3.3333333333333335,23,5,1.0,5.0,2.9130434782608696,"1,2,3,4,5",True,False,False,False,False
first_author_liu,3,2,1,"2,4",2.6666666666666665,12,5,1.0,5.0,2.9166666666666665,"1,2,3,4,5",True,False,False,False,False
first_author_saribatur,3,0,3,"4,5",4.666666666666667,2,2,4.0,5.0,4.5,"4,5",True,False,False,False,False
first_author_tsukada,3,2,1,"1,3",1.6666666666666667,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_acar,2,1,1,"1,3",2.0,0,0,,,,,False,False,False,False,False
first_author_alfano,2,2,0,"3,5",4.0,2,1,4.0,4.0,4.0,4,True,False,False,True,False
first_author_aloza,2,1,1,"2,5",3.5,0,0,,,,,False,False,False,False,False
first_author_alviano,2,1,1,5,5.0,11,5,1.0,5.0,2.727272727272727,"1,2,3,4,5",True,False,False,False,False
first_author_baier,2,0,2,3,3.0,3,2,1.0,3.0,1.6666666666666667,"1,3",True,False,False,False,False
first_author_bansal,2,2,0,"1,2",1.5,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_batz,2,1,1,"2,3",2.5,0,0,,,,,False,False,False,False,False
first_author_baumeister,2,2,0,"1,2",1.5,3,2,2.0,5.0,3.0,"2,5",True,False,False,False,False
first_author_benerecetti,2,2,0,"1,2",1.5,0,0,,,,,False,False,False,False,False
first_author_chatterjee,2,1,1,"1,3",2.0,10,4,1.0,4.0,2.1,"1,2,3,4",True,False,False,False,False
first_author_das,2,1,1,"1,3",2.0,5,4,1.0,5.0,2.6,"1,2,4,5",True,False,False,False,False
first_author_dreier,2,1,1,1,1.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_fan,2,1,1,2,2.0,3,2,3.0,4.0,3.6666666666666665,"3,4",True,False,False,False,False
first_author_farzan,2,1,1,2,2.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_figueira,2,0,2,"1,3",2.0,5,3,1.0,3.0,1.6,"1,2,3",True,False,False,False,False
first_author_finkbeiner,2,2,0,2,2.0,6,4,1.0,5.0,2.5,"1,2,4,5",True,False,False,False,False
first_author_ga,2,1,1,2,2.0,3,2,1.0,2.0,1.3333333333333333,"1,2",True,False,False,False,False
first_author_galal,2,1,1,"1,2",1.5,0,0,,,,,False,False,False,False,False
first_author_jeandel,2,0,2,1,1.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_jung,2,0,2,"1,2",1.5,7,3,2.0,4.0,3.0,"2,3,4",True,False,False,False,False
first_author_k,2,1,1,2,2.0,5,2,1.0,3.0,1.8,"1,3",True,False,False,False,False
first_author_kiefer,2,2,0,1,1.0,4,3,1.0,4.0,3.0,"1,3,4",True,False,False,False,False
first_author_kong,2,0,2,"2,3",2.5,0,0,,,,,False,False,False,False,False
first_author_kori,2,1,1,"1,2",1.5,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_lbl,2,1,1,"1,2",1.5,0,0,,,,,False,False,False,False,False
first_author_mellies,2,0,2,"1,2",1.5,0,0,,,,,False,False,False,False,False
first_author_n,2,1,1,2,2.0,2,2,2.0,3.0,2.5,"2,3",True,False,False,False,False
first_author_nguyen,2,2,0,"1,5",3.0,2,2,3.0,5.0,4.0,"3,5",True,False,False,False,False
first_author_niemetz,2,2,0,1,1.0,4,2,1.0,2.0,1.25,"1,2",True,False,False,False,False
first_author_olmedo,2,1,1,"1,5",3.0,0,0,,,,,False,False,False,False,False
first_author_przybyszewski,2,0,2,"1,4",2.5,0,0,,,,,False,False,False,False,False
first_author_soos,2,2,0,"1,3",2.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_sun,2,2,0,"4,5",4.5,0,0,,,,,False,False,False,False,False
first_author_xu,2,2,0,"1,4",2.5,8,4,1.0,4.0,2.25,"1,2,3,4",True,False,False,False,False
first_author_zhao,2,2,0,"2,3",2.5,3,2,2.0,3.0,2.6666666666666665,"2,3",True,False,False,False,False
first_author_zhu,2,2,0,"1,3",2.0,3,2,1.0,3.0,1.6666666666666667,"1,3",True,False,False,False,False
first_author_abdulla,1,0,1,1,1.0,2,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_abramsky,1,0,1,1,1.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_adamek,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_adj,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_adler,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_ahrens,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_alur,1,1,0,2,2.0,6,2,1.0,3.0,1.3333333333333333,"1,3",True,False,False,False,False
first_author_amgoud,1,0,1,5,5.0,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_amor,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_amorim,1,0,1,1,1.0,3,2,1.0,4.0,2.0,"1,4",True,False,False,False,False
first_author_amram,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_anand,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_antoniou,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_apicelli,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_argyris,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_aristote,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_armstrong,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_aspis,1,0,1,4,4.0,1,1,2.0,2.0,2.0,2,True,False,False,False,False
first_author_avni,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_awodey,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_azzolini,1,1,0,4,4.0,6,4,2.0,5.0,3.6666666666666665,"2,3,4,5",True,False,False,False,False
first_author_backus,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_bak,1,1,0,5,5.0,3,2,1.0,5.0,2.3333333333333335,"1,5",True,False,False,False,False
first_author_balasubramanian,1,0,1,1,1.0,3,2,1.0,2.0,1.3333333333333333,"1,2",True,False,False,False,False
first_author_baltag,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_banbara,1,0,1,5,5.0,0,0,,,,,False,False,False,False,False
first_author_barenbaum,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_becchi,1,0,1,1,1.0,2,2,3.0,4.0,3.5,"3,4",True,False,False,False,False
first_author_beckmann,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_bednarczyk,1,0,1,3,3.0,2,1,3.0,3.0,3.0,3,True,False,False,False,True
first_author_belabbes,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_bell,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_benedikt,1,0,1,2,2.0,5,3,1.0,3.0,2.2,"1,2,3",True,False,False,False,False
first_author_berardi,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_bernardini,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_berth,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_bertolucci,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_berzish,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_beyer,1,1,0,3,3.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_bienvenu,1,1,0,3,3.0,11,5,1.0,5.0,3.090909090909091,"1,2,3,4,5",True,False,False,False,False
first_author_biswas,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_blahoudek,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_bloem,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_blondin,1,0,1,2,2.0,7,4,1.0,4.0,2.142857142857143,"1,2,3,4",True,False,False,False,False
first_author_blot,1,0,1,3,3.0,4,2,1.0,2.0,1.25,"1,2",True,False,False,False,False
first_author_bollans,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_bomanson,1,1,0,4,4.0,1,1,4.0,4.0,4.0,4,True,False,False,False,True
first_author_bonchi,1,1,0,2,2.0,5,3,1.0,3.0,1.8,"1,2,3",True,False,False,False,False
first_author_bono,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_borgwardt,1,0,1,1,1.0,2,2,3.0,5.0,4.0,"3,5",True,False,False,False,False
first_author_bos,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_bozzano,1,1,0,4,4.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_bozzelli,1,1,0,1,1.0,2,2,2.0,4.0,3.0,"2,4",True,False,False,False,False
first_author_brewka,1,0,1,3,3.0,1,1,2.0,2.0,2.0,2,True,False,False,False,False
first_author_brik,1,0,1,2,2.0,2,2,3.0,5.0,4.0,"3,5",True,False,False,False,False
first_author_buchholtz,1,1,0,1,1.0,2,1,2.0,2.0,2.0,2,True,False,False,False,False
first_author_buhren,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_bunting,1,1,0,1,1.0,2,2,1.0,4.0,2.5,"1,4",True,False,False,False,False
first_author_burjons,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_buron,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_cabalar,1,1,0,4,4.0,13,5,1.0,5.0,3.3846153846153846,"1,2,3,4,5",True,False,False,False,False
first_author_cai,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_campbell,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_capelli,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_cardelli,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_carette,1,0,1,3,3.0,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_caro,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_casadio,1,0,1,5,5.0,1,1,5.0,5.0,5.0,5,True,False,False,False,True
first_author_casini,1,1,0,3,3.0,3,2,3.0,4.0,3.3333333333333335,"3,4",True,False,False,False,False
first_author_castro,1,0,1,2,2.0,1,1,5.0,5.0,5.0,5,True,False,False,False,False
first_author_cauli,1,0,1,1,1.0,2,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_cavada,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_cece,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_cerutti,1,1,0,3,3.0,1,1,3.0,3.0,3.0,3,True,False,False,False,True
first_author_ceylan,1,0,1,5,5.0,1,1,4.0,4.0,4.0,4,True,False,False,False,False
first_author_chalupa,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_chandler,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_chasins,1,0,1,1,1.0,1,1,4.0,4.0,4.0,4,True,False,False,False,False
first_author_cheval,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_chiariello,1,0,1,5,5.0,0,0,,,,,False,False,False,False,False
first_author_chiatti,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_chibrikov,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_christiaanse,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_cima,1,1,0,4,4.0,1,1,4.0,4.0,4.0,4,True,False,False,False,True
first_author_clairambault,1,0,1,1,1.0,3,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_clemente,1,1,0,1,1.0,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_cohen,1,1,0,1,1.0,5,2,1.0,2.0,1.2,"1,2",True,False,False,False,False
first_author_colcombet,1,0,1,1,1.0,2,2,1.0,4.0,2.5,"1,4",True,False,False,False,False
first_author_colnet,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_colvin,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_conchon,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_console,1,1,0,2,2.0,2,2,1.0,4.0,2.5,"1,4",True,False,False,False,False
first_author_contreras,1,0,1,2,2.0,1,1,2.0,2.0,2.0,2,True,False,False,False,True
first_author_cook,1,0,1,3,3.0,1,1,2.0,2.0,2.0,2,True,False,False,False,False
first_author_cooper,1,0,1,4,4.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_corea,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_costantini,1,0,1,4,4.0,1,1,3.0,3.0,3.0,3,True,False,False,False,False
first_author_crary,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_crubill,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_cucala,1,0,1,5,5.0,2,2,3.0,4.0,3.5,"3,4",True,False,False,False,False
first_author_curzi,1,1,0,1,1.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_cyr,1,1,0,4,4.0,0,0,,,,,False,False,False,False,False
first_author_dabbene,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_dabrowski,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_daggitt,1,1,0,5,5.0,0,0,,,,,False,False,False,False,False
first_author_dagnino,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_dartois,1,0,1,2,2.0,3,3,1.0,4.0,2.3333333333333335,"1,2,4",True,False,False,False,False
first_author_dave,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_davis,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_degabriele,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_del,1,1,0,2,2.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_delgrande,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_demarchi,1,1,0,5,5.0,0,0,,,,,False,False,False,False,False
first_author_desmartin,1,1,0,5,5.0,0,0,,,,,False,False,False,False,False
first_author_dewoprabowo,1,0,1,3,3.0,1,1,3.0,3.0,3.0,3,True,False,False,False,True
first_author_dhavala,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_dijk,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_dinsmore,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_dodampegama,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_domingos,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_drot,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_duggirala,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_dupleich,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_ebbinghaus,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_eccles,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_eilers,1,0,1,2,2.0,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_el,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_enqvist,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_epstein,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_faur,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_fazekas,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_fearnley,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_feldman,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_feng,1,1,0,2,2.0,4,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_fernandes,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_ferreira,1,0,1,1,1.0,1,1,5.0,5.0,5.0,5,True,False,False,False,False
first_author_fijalkow,1,1,0,3,3.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_fischer,1,0,1,5,5.0,0,0,,,,,False,False,False,False,False
first_author_flaminio,1,0,1,1,1.0,2,1,4.0,4.0,4.0,4,True,False,False,False,False
first_author_fomin,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_ford,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_fortin,1,0,1,2,2.0,2,2,3.0,4.0,3.5,"3,4",True,False,False,False,False
first_author_fox,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_frenkel,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_frohn,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_furber,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_gacek,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_gao,1,1,0,2,2.0,2,2,4.0,5.0,4.5,"4,5",True,False,False,False,False
first_author_gaston,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_gavazzo,1,1,0,2,2.0,2,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_gazda,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_gebser,1,0,1,5,5.0,0,0,,,,,False,False,False,False,False
first_author_gehr,1,1,0,5,5.0,0,0,,,,,False,False,False,False,False
first_author_gerasimova,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_ghahremani,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_ghosh,1,0,1,2,2.0,4,3,1.0,5.0,2.5,"1,2,5",True,False,False,False,False
first_author_giacomo,1,0,1,1,1.0,7,4,1.0,4.0,2.2857142857142856,"1,2,3,4",True,False,False,False,False
first_author_gigante,1,0,1,2,2.0,3,2,2.0,3.0,2.6666666666666665,"2,3",True,False,False,False,False
first_author_gittis,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_giunchiglia,1,1,0,4,4.0,0,0,,,,,False,False,False,False,False
first_author_gogacz,1,1,0,3,3.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_gottlob,1,0,1,1,1.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_grabmayer,1,0,1,2,2.0,1,1,2.0,2.0,2.0,2,True,False,False,False,True
first_author_grange,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_grohe,1,0,1,1,1.0,6,3,1.0,5.0,2.0,"1,2,5",True,False,False,False,False
first_author_groot,1,0,1,3,3.0,2,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_guilloud,1,0,1,2,2.0,1,1,3.0,3.0,3.0,3,True,False,False,False,False
first_author_guo,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_gupta,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_guth,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_gutsfeld,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_guttenberg,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_haan,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_habermehl,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_hader,1,0,1,3,3.0,1,1,3.0,3.0,3.0,3,True,False,False,False,True
first_author_hadzihasanovic,1,0,1,1,1.0,2,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_hahn,1,1,0,3,3.0,5,2,4.0,5.0,4.8,"4,5",True,False,False,False,False
first_author_haifani,1,1,0,4,4.0,0,0,,,,,False,False,False,False,False
first_author_hainry,1,0,1,3,3.0,1,1,1.0,1.0,1.0,1,True,False,False,False,False
first_author_haldimann,1,0,1,2,2.0,2,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_halpern,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_hannula,1,1,0,4,4.0,0,0,,,,,False,False,False,False,False
first_author_hansen,1,0,1,1,1.0,4,3,2.0,5.0,4.0,"2,4,5",True,False,False,False,False
first_author_hasegawa,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_havlena,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_hay,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_he,1,1,0,3,3.0,4,2,1.0,2.0,1.5,"1,2",True,False,False,False,False
first_author_heimberg,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_heinz,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_hellings,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_hernich,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_herzig,1,0,1,4,4.0,2,2,3.0,4.0,3.5,"3,4",True,False,False,False,False
first_author_hino,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_hlberg,1,1,0,3,3.0,1,1,3.0,3.0,3.0,3,True,False,False,False,True
first_author_ho,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_hoh,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_horne,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_hsu,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_hughes,1,0,1,1,1.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_hunter,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_ien,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_irisci,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_itzhaky,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_ivanov,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_izmirlioglu,1,0,1,5,5.0,1,1,4.0,4.0,4.0,4,True,False,False,False,False
first_author_jaber,1,0,1,1,1.0,3,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_jacobs,1,0,1,2,2.0,6,2,1.0,3.0,1.6666666666666667,"1,3",True,False,False,False,False
first_author_jakl,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_jensen,1,1,0,1,1.0,1,1,3.0,3.0,3.0,3,True,False,False,False,False
first_author_johnson,1,0,1,1,1.0,1,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_jordan,1,1,0,4,4.0,0,0,,,,,False,False,False,False,False
first_author_jovanovi,1,1,0,4,4.0,0,0,,,,,False,False,False,False,False
first_author_juba,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_ka,1,1,0,1,1.0,2,1,1.0,1.0,1.0,1,True,False,False,False,True
first_author_kacprzak,1,0,1,3,3.0,1,1,3.0,3.0,3.0,3,True,False,False,False,True
first_author_kafle,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_kahsai,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_kaminski,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_kammar,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_kang,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_kappen,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_karvelas,1,1,0,3,3.0,0,0,,,,,False,False,False,False,False
first_author_kawamoto,1,0,1,2,2.0,1,1,4.0,4.0,4.0,4,True,False,False,False,False
first_author_kawamura,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_khoussainov,1,1,0,1,1.0,1,1,3.0,3.0,3.0,3,True,False,False,False,False
first_author_kieronski,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_kirsch,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
first_author_kirst,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_knorr,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_knudstorp,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_kohlen,1,1,0,2,2.0,0,0,,,,,False,False,False,False,False
first_author_kohlhase,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_kokologiannakis,1,0,1,3,3.0,2,2,1.0,3.0,2.0,"1,3",True,False,False,False,False
first_author_komorida,1,1,0,1,1.0,1,1,3.0,3.0,3.0,3,True,False,False,False,False
first_author_konieczny,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_koopmann,1,0,1,4,4.0,1,1,4.0,4.0,4.0,4,True,False,False,False,True
first_author_kopitar,1,1,0,5,5.0,0,0,,,,,False,False,False,False,False
first_author_koukoutos,1,0,1,1,1.0,0,0,,,,,False,False,False,False,False
first_author_koymans,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_kraus,1,1,0,1,1.0,4,2,1.0,2.0,1.25,"1,2",True,False,False,False,False
first_author_kremer,1,1,0,1,1.0,0,0,,,,,False,False,False,False,False
first_author_krishnan,1,0,1,3,3.0,0,0,,,,,False,False,False,False,False
first_author_krogmeier,1,0,1,4,4.0,0,0,,,,,False,False,False,False,False
first_author_kura,1,0,1,2,2.0,0,0,,,,,False,False,False,False,False
