id,title,venue,year,authors,doi,source_split,doi_norm,s2_id,first_surname,has_authors,title_len,author_count,oa_doi_found,openalex_error,oa_doi_id,oa_doi_title,oa_doi_year,oa_doi_cited_by_count,oa_doi_referenced_works_count,oa_doi_fwci,oa_doi_is_retracted,source_title,source_year,oa_title_found,title_search_error,title_match_score,title_year_delta,oa_title_id,openalex_doi,oa_title_title,oa_title_year,oa_title_cited_by_count,oa_title_referenced_works_count,oa_title_fwci,oa_title_is_retracted,oa_found,oa_source,oa_id,oa_year,oa_cited_by_count,oa_referenced_works_count,oa_fwci,oa_is_retracted,oa_title_match_score,oa_title_year_delta,oa_type,oa_type_crossref,abstract_source,abstract_len,has_abstract,s2_fields_of_study,s2_publication_types,doi_lookup_id,doi_lookup_type,doi_lookup_value,doi_s2_found,doi_s2_error,doi_s2_paper_id,doi_s2_title,doi_s2_venue,doi_s2_year,doi_s2_reference_count,doi_s2_citation_count,doi_s2_influential_citation_count,doi_s2_publication_types,doi_s2_fields_of_study,doi_s2_is_open_access,id_lookup_id,id_lookup_type,id_lookup_value,id_s2_found,id_s2_error,id_s2_paper_id,id_s2_title,id_s2_venue,id_s2_year,id_s2_reference_count,id_s2_citation_count,id_s2_influential_citation_count,id_s2_publication_types,id_s2_fields_of_study,id_s2_is_open_access,s2_found,s2_source,s2_reference_count,s2_citation_count,s2_influential_citation_count,s2_year,s2_is_open_access,s2_venue,crossref_found,crossref_error,crossref_title,crossref_publisher,crossref_type,crossref_subjects,crossref_subject_count,crossref_reference_count,crossref_is_referenced_by_count,crossref_license_count,crossref_has_abstract,coci_found,coci_error,coci_citation_count,log_oa_cited_by_count,log_oa_referenced_works_count,log_oa_fwci,log_s2_reference_count,log_s2_citation_count,log_s2_influential_citation_count,log_crossref_reference_count,log_crossref_is_referenced_by_count,log_coci_citation_count,paper_age,best_citation_count,best_reference_count,citation_velocity,citation_count_mean,citation_disagreement,citation_source_count,influential_ratio,external_found_count,top_s2_field,top_s2_pub_type,crossref_primary_subject,concept_has_logic,concept_has_ai,concept_has_asp,log_best_citation_count,best_citation_count_global_pct,best_citation_count_venue_pct,best_citation_count_year_pct,best_citation_count_venue_year_pct,log_best_reference_count,best_reference_count_global_pct,best_reference_count_venue_pct,best_reference_count_year_pct,best_reference_count_venue_year_pct,log_citation_velocity,citation_velocity_global_pct,citation_velocity_venue_pct,citation_velocity_year_pct,citation_velocity_venue_year_pct,oa_fwci_global_pct,oa_fwci_venue_pct,oa_fwci_year_pct,oa_fwci_venue_year_pct,s2_influential_citation_count_global_pct,s2_influential_citation_count_venue_pct,s2_influential_citation_count_year_pct,s2_influential_citation_count_venue_year_pct
10,ASP Chef Creates Surveys.,iclp,2025,,https://www.semanticscholar.org/paper/d5f2cec014c85b45fea94485b6e554d34ef687d1,train,,d5f2cec014c85b45fea94485b6e554d34ef687d1,,0,25,0,,,,,,,,,,ASP Chef Creates Surveys.,2025.0,False,,0.2074074074074074,-9.0,https://openalex.org/W2537643964,https://doi.org/10.3390/ijms17101745,"Tocopherols and Tocotrienols in Common and Emerging Dietary Sources: Occurrence, Applications, and Health Benefits",2016.0,422.0,189.0,12.1499,False,0,none,,,,,,,0.2074074074074074,-9.0,,,s2_tldr,355,True,,,,,,,,,,,,,,,,,,S2:d5f2cec014c85b45fea94485b6e554d34ef687d1,s2_id,d5f2cec014c85b45fea94485b6e554d34ef687d1,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
11,neXSim: A System for Explaining Nexus of Similarities.,iclp,2025,,https://www.semanticscholar.org/paper/74d9f339477a40f464005794d75a93938d61fef7,train,,74d9f339477a40f464005794d75a93938d61fef7,,0,54,0,,,,,,,,,,neXSim: A System for Explaining Nexus of Similarities.,2025.0,False,,0.0,,,,,,,,,,0,none,,,,,,,0.0,,,,,0,False,,,,,,,,,,,,,,,,,,S2:74d9f339477a40f464005794d75a93938d61fef7,s2_id,74d9f339477a40f464005794d75a93938d61fef7,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
12,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,iclp,2025,,https://www.semanticscholar.org/paper/b07ad7be825bbb717bfb0b8edf221ef232896e3a,train,,b07ad7be825bbb717bfb0b8edf221ef232896e3a,,0,70,0,,,,,,,,,,Iterative ASP Pipelines: Enhancements for Robots Playing Mobile Games.,2025.0,False,,0.3582089552238806,-3.0,https://openalex.org/W4221141793,https://doi.org/10.1613/jair.1.13596,Automated Reinforcement Learning (AutoRL): A Survey and Open Problems,2022.0,82.0,383.0,10.5491,False,0,none,,,,,,,0.3582089552238806,-3.0,,,s2_tldr,353,True,,,,,,,,,,,,,,,,,,S2:b07ad7be825bbb717bfb0b8edf221ef232896e3a,s2_id,b07ad7be825bbb717bfb0b8edf221ef232896e3a,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
13,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,iclp,2025,,https://www.semanticscholar.org/paper/16e7436d3cb4f8995a7bd882475fc183914e2409,train,,16e7436d3cb4f8995a7bd882475fc183914e2409,,0,74,0,,,,,,,,,,General Grid Recognition and Logic-Driven Gameplay for Intelligent Robots.,2025.0,False,,0.3132530120481928,-4.0,https://openalex.org/W4200081874,https://doi.org/10.1186/s10033-021-00639-3,Planning and Decision-making for Connected Autonomous Vehicles at Road Intersections: A Review,2021.0,88.0,172.0,8.3264,False,0,none,,,,,,,0.3132530120481928,-4.0,,,s2_tldr,300,True,,,,,,,,,,,,,,,,,,S2:16e7436d3cb4f8995a7bd882475fc183914e2409,s2_id,16e7436d3cb4f8995a7bd882475fc183914e2409,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
14,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,iclp,2025,"Gładyś Sylwester, Malarski Marek, Jasiński Sławomir, Skorupski Jacek",https://www.semanticscholar.org/paper/e3a41328c54f87564400dc2a3c529f7cb7bdd246,train,,e3a41328c54f87564400dc2a3c529f7cb7bdd246,sylwester,1,102,4,,,,,,,,,,Tackling the Air Traffic Flow and Capacity Management Problem with Explainable Answer Set Programming.,2025.0,False,,0.3076923076923077,-4.0,https://openalex.org/W3126686235,https://doi.org/10.1109/ojcoms.2021.3057679,The Road Towards 6G: A Comprehensive Survey,2021.0,1461.0,144.0,103.9261,False,0,none,,,,,,,0.3076923076923077,-4.0,,,s2_tldr,237,True,,,,,,,,,,,,,,,,,,S2:e3a41328c54f87564400dc2a3c529f7cb7bdd246,s2_id,e3a41328c54f87564400dc2a3c529f7cb7bdd246,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
15,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,iclp,2025,,https://www.semanticscholar.org/paper/0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,train,,0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,,0,90,0,,,,,,,,,,Knowledge Graphs &amp; Reasoning in Concert: Automating Regulation in Corporate Economics.,2025.0,False,,0.1974248927038626,-3.0,https://openalex.org/W4401200531,,Methodological framework for a digital thread between product lifecycle management and internet of things : application to the manufacturing industry,2022.0,0.0,0.0,,False,0,none,,,,,,,0.1974248927038626,-3.0,,,oat_abstract,2200,True,,,,,,,,,,,,,,,,,,S2:0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,s2_id,0cec1ac0f79ff618cbbdfa515eb11875a938bb3e,False,,,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
16,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems.",iclp,2025,Aysu Bogatarkan,10.1609/aaai.v40i48.42143,train,10.1609/aaai.v40i48.42143,,bogatarkan,1,92,1,True,,https://openalex.org/W7138964997,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems",2026.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,1,doi,https://openalex.org/W7138964997,2026.0,0.0,0.0,0.0,False,0.0,,article,,s2_abstract,361,True,Computer Science,JournalArticle,DOI:10.1609/aaai.v40i48.42143,doi,10.1609/aaai.v40i48.42143,True,,ca520927e9bf5f41fa3140b1aa3e7b9b4827d290,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems",ICLP Workshops,2026.0,33.0,0.0,0.0,JournalArticle,Computer Science,False,,,,,,,,,,,,,,,,1,doi,33.0,0.0,0.0,2026.0,False,ICLP Workshops,True,,"Flexible, Lifelong, Explainable, and Robust Solutions for Multi-Agent Path Finding Problems",Association for the Advancement of Artificial Intelligence (AAAI),journal-article,,0.0,0.0,0.0,0.0,1.0,True,,0.0,0.0,0.0,0.0,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,2,0.0,33.0,0.0,0.0,0.0,4,,4,computer science,journalarticle,none,0,1,0,0.0,0.08357558139534883,0.19040247678018576,0.26325757575757575,0.35365853658536583,3.5263605246161616,0.5625,0.8157894736842105,0.5397727272727273,0.7073170731707317,0.0,0.08357558139534883,0.19040247678018576,0.26325757575757575,0.35365853658536583,0.13566616766467066,0.2532258064516129,0.3715953307392996,0.4634146341463415,0.3228915662650602,0.46195652173913043,0.47115384615384615,0.48484848484848486
17,Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,iclp,2025,"Son Tran, Edjard Mota, Artur d'Avila Garcez",https://www.semanticscholar.org/paper/2423ca4c3595deb2c6a5014a5e8949e20db06714,train,,2423ca4c3595deb2c6a5014a5e8949e20db06714,tran,1,77,3,,,,,,,,,,Neurosymbolic AI in Digital Forensics: Commonsense and Qualitative Reasoning.,2025.0,False,,0.2994011976047904,-1.0,https://openalex.org/W4393722879,https://doi.org/10.48550/arxiv.2404.00019,Advancing Explainable Autonomous Vehicle Systems: A Comprehensive Review and Research Roadmap,2024.0,2.0,0.0,,False,0,none,,,,,,,0.2994011976047904,-1.0,,,s2_tldr,329,True,,,,,,,,,,,,,,,,,,S2:2423ca4c3595deb2c6a5014a5e8949e20db06714,s2_id,2423ca4c3595deb2c6a5014a5e8949e20db06714,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
18,A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,iclp,2025,,https://www.semanticscholar.org/paper/d56c21dd9eec50685a99172f73e1deb039278ba1,train,,d56c21dd9eec50685a99172f73e1deb039278ba1,,0,74,0,,,,,,,,,,A Tool Set for Converting Controlled Natural Languages into AI Formalisms.,2025.0,False,,0.4161849710982659,-7.0,https://openalex.org/W2604799547,https://doi.org/10.1613/jair.5477,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation",2018.0,750.0,734.0,70.9252,False,0,none,,,,,,,0.4161849710982659,-7.0,,,s2_tldr,302,True,,,,,,,,,,,,,,,,,,S2:d56c21dd9eec50685a99172f73e1deb039278ba1,s2_id,d56c21dd9eec50685a99172f73e1deb039278ba1,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
19,Representing and Evaluating SBVR Specification via ASP.,iclp,2025,"Murali Mohanan, Imran Sarwar Bajwa",https://www.semanticscholar.org/paper/534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,train,,534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,mohanan,1,55,2,,,,,,,,,,Representing and Evaluating SBVR Specification via ASP.,2025.0,False,,0.3193277310924369,-2.0,https://openalex.org/W4390034201,https://doi.org/10.1017/s1471068423000388,CNL2ASP: Converting Controlled Natural Language Sentences into ASP,2023.0,4.0,32.0,0.6816,False,0,none,,,,,,,0.3193277310924369,-2.0,,,s2_tldr,207,True,,,,,,,,,,,,,,,,,,S2:534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,s2_id,534021c0c931fb6e0d18ed506f4a6eca64eeb6ac,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
20,On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,iclp,2025,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",https://www.semanticscholar.org/paper/ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,train,,ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,caruso,1,75,5,,,,,,,,,,On the Translation of ASP Rules to (Controlled) Natural Language Sentences.,2025.0,False,,0.6715328467153284,-2.0,https://openalex.org/W4390034201,https://doi.org/10.1017/s1471068423000388,CNL2ASP: Converting Controlled Natural Language Sentences into ASP,2023.0,4.0,32.0,0.6816,False,0,none,,,,,,,0.6715328467153284,-2.0,,,oat_abstract,1055,True,,,,,,,,,,,,,,,,,,S2:ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,s2_id,ea45c0dffa64a9070c27cdf13259bcd20f4aadfc,False,"400: {""error"":""No valid paper ids given""}
",,,,,,,,,,,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,0,none,none,none,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
