name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,diff_vs_step36_public,diff_vs_step36_private,diff_vs_step36_total,oof_lift_vs_step36,thresholds
step18b_bge_m3_ridge_a3p0_w0p02600_l6p0,ridge_a3p0,0.026,6.0,0.6622130591530844,0.002036723407769392,0.0009525007738514502,0.14890771408427203,2,2,4,0,"{1: 122, 2: 61, 3: 57, 4: 36, 5: 22}","{1: 134, 2: 66, 3: 44, 4: 31, 5: 23}",55,34,21,0.23636363636363636,12,13,7,6,0,1,0,1,0.00011507372366159618,"1.890970,2.499281,3.235879,4.094986"
step18b_bge_m3_ridge_a3p0_w0p02750_l4p0,ridge_a3p0,0.0275,4.0,0.6620979854294228,0.0019216496841077957,0.000837427050189854,0.14890771408427203,3,2,5,0,"{1: 122, 2: 61, 3: 56, 4: 37, 5: 22}","{1: 134, 2: 66, 3: 44, 4: 31, 5: 23}",61,36,25,0.18032786885245902,14,12,6,6,0,0,0,0,0.0,"1.894536,2.499977,3.234838,4.078996"
step18b_bge_m3_ridge_a3p0_w0p02850_l4p0,ridge_a3p0,0.0285,4.0,0.6620199093139818,0.001843573568666823,0.0007593509347488814,0.14555200938628546,3,4,7,0,"{1: 122, 2: 61, 3: 56, 4: 37, 5: 22}","{1: 134, 2: 65, 3: 44, 4: 32, 5: 23}",58,33,25,0.13793103448275862,16,12,6,6,0,0,2,2,-7.80761154409726e-05,"1.892216,2.499427,3.228127,4.092949"
step18b_bge_m3_ridge_a3p0_w0p02750_l6p0,ridge_a3p0,0.0275,6.0,0.661897888753065,0.0017215530077500096,0.0006373303738320679,0.148907714084272,8,5,13,0,"{1: 120, 2: 63, 3: 56, 4: 34, 5: 25}","{1: 132, 2: 68, 3: 42, 4: 32, 5: 24}",64,32,32,0.0,32,6,11,7,0,5,5,10,-0.00020009667635778605,"1.884695,2.499837,3.216200,4.051558"
step18b_bge_m3_ridge_a3p0_w0p02850_l6p0,ridge_a3p0,0.0285,6.0,0.6618007555096918,0.0016244197643767722,0.0005401971304588304,0.14555200938628546,8,5,13,0,"{1: 123, 2: 60, 3: 56, 4: 33, 5: 26}","{1: 135, 2: 64, 3: 43, 4: 32, 5: 24}",74,35,39,-0.05405405405405406,31,8,11,5,0,5,5,10,-0.00029722991973102353,"1.902251,2.499287,3.214883,4.048784"
step18b_bge_m3_ridge_a3p0_w0p02725_l8p0,ridge_a3p0,0.02725,8.0,0.6594124466326511,-0.0007638891126638958,-0.0018481117465818375,0.17575335166816466,6,10,16,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",96,50,46,0.041666666666666664,4,21,11,12,0,9,8,17,-0.0026855387967716915,"1.916622,2.544911,3.248623,4.094331"
step18b_bge_m3_ridge_a3p0_w0p02750_l2p0,ridge_a3p0,0.0275,2.0,0.6593227669606389,-0.0008535687846761286,-0.0019377914185940703,0.1791090563661513,8,12,20,0,"{1: 124, 2: 65, 3: 53, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 30, 5: 23}",100,52,48,0.04,4,22,13,14,0,11,10,21,-0.0027752184687839243,"1.918541,2.547186,3.254673,4.094190"
step18b_bge_m3_ridge_a3p0_w0p02850_l8p0,ridge_a3p0,0.0285,8.0,0.659241395555446,-0.0009349401898689491,-0.002019162823786891,0.17575335166816466,6,10,16,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",95,50,45,0.05263157894736842,4,21,11,12,0,9,8,17,-0.002856589873976745,"1.913875,2.545126,3.247059,4.093526"
step18b_bge_m3_ridge_a3p0_w0p02750_l8p0,ridge_a3p0,0.0275,8.0,0.6591415276343119,-0.0010348081110030938,-0.0021190307449210355,0.1723976469701781,5,10,15,0,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",94,49,45,0.0425531914893617,4,21,10,12,0,8,8,16,-0.0029564577951108895,"1.913028,2.540667,3.247491,4.093815"
step18b_bge_m3_ridge_a3p0_w0p02725_l6p0,ridge_a3p0,0.02725,6.0,0.6591415276343119,-0.0010348081110030938,-0.0021190307449210355,0.17575335166816466,6,10,16,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",94,49,45,0.0425531914893617,4,21,11,12,0,9,8,17,-0.0029564577951108895,"1.914124,2.543662,3.247847,4.094525"
step18b_bge_m3_ridge_a3p0_w0p02850_l2p0,ridge_a3p0,0.0285,2.0,0.6591415276343119,-0.0010348081110030938,-0.0021190307449210355,0.17239764697017812,5,11,16,0,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 63, 3: 41, 4: 31, 5: 23}",94,49,45,0.0425531914893617,4,21,10,13,0,8,9,17,-0.0029564577951108895,"1.915337,2.540875,3.248105,4.092394"
step18b_bge_m3_ridge_a3p0_w0p02900_l8p0,ridge_a3p0,0.029,8.0,0.6591415276343119,-0.0010348081110030938,-0.0021190307449210355,0.17239764697017812,5,11,16,0,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 140, 2: 63, 3: 41, 4: 31, 5: 23}",94,49,45,0.0425531914893617,4,21,10,13,0,8,9,17,-0.0029564577951108895,"1.914587,2.542776,3.247751,4.093097"
step18b_bge_m3_ridge_a3p0_w0p02700_l8p0,ridge_a3p0,0.027,8.0,0.6589752156881008,-0.0012011200572141778,-0.0022853426911321195,0.17575335166816464,6,9,15,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 65, 3: 41, 4: 31, 5: 23}",93,48,45,0.03225806451612903,4,21,11,11,0,9,7,16,-0.0031227697413219735,"1.913094,2.543224,3.246846,4.092788"
step18b_bge_m3_ridge_a3p0_w0p02800_l4p0,ridge_a3p0,0.028,4.0,0.6588898279032807,-0.0012865078420343234,-0.002370730475952265,0.1723976469701781,5,10,15,0,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",95,49,46,0.031578947368421054,4,21,10,12,0,8,8,16,-0.003208157526142119,"1.914067,2.541665,3.248879,4.095834"
step18b_bge_m3_ridge_a3p0_w0p02650_l2p0,ridge_a3p0,0.0265,2.0,0.6588712966661874,-0.0013050390791276012,-0.002389261713045543,0.17575335166816466,7,12,19,0,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 29, 5: 23}",99,51,48,0.030303030303030304,4,21,12,14,0,10,10,20,-0.003226688763235397,"1.915338,2.544641,3.258565,4.095217"
step18b_bge_m3_ridge_a3p0_w0p02700_l2p0,ridge_a3p0,0.027,2.0,0.658833452763463,-0.0013428829818520338,-0.0024271056157699755,0.17910905636615126,7,11,18,0,"{1: 124, 2: 65, 3: 52, 4: 35, 5: 22}","{1: 140, 2: 63, 3: 41, 4: 31, 5: 23}",100,51,49,0.02,4,22,12,13,0,10,9,19,-0.0032645326659598295,"1.918434,2.547068,3.250348,4.099929"
step18b_bge_m3_ridge_a3p0_w0p02600_l4p0,ridge_a3p0,0.026,4.0,0.6588092252362846,-0.0013671105090303781,-0.00245133314294832,0.1791090563661512,7,9,16,0,"{1: 124, 2: 65, 3: 52, 4: 35, 5: 22}","{1: 138, 2: 65, 3: 41, 4: 31, 5: 23}",97,50,47,0.030927835051546393,4,21,12,11,0,10,7,17,-0.003288760193138174,"1.913446,2.547290,3.250550,4.099772"
step18b_bge_m3_ridge_a3p0_w0p02600_l2p0,ridge_a3p0,0.026,2.0,0.6587713865841298,-0.001404949161185165,-0.0024891717951031067,0.17575335166816464,6,9,15,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 65, 3: 41, 4: 31, 5: 23}",98,50,48,0.02040816326530612,4,21,11,11,0,9,7,16,-0.0033265988452929607,"1.913729,2.546654,3.250615,4.097745"
step18b_bge_m3_ridge_a3p0_w0p02725_l4p0,ridge_a3p0,0.02725,4.0,0.6587713865841298,-0.001404949161185165,-0.0024891717951031067,0.17575335166816466,6,10,16,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 41, 4: 31, 5: 23}",98,50,48,0.02040816326530612,4,21,11,12,0,9,8,17,-0.0033265988452929607,"1.916250,2.545502,3.250490,4.095342"
step18b_bge_m3_ridge_a3p0_w0p02600_l8p0,ridge_a3p0,0.026,8.0,0.6587713865841298,-0.001404949161185165,-0.0024891717951031067,0.17910905636615124,7,11,18,0,"{1: 124, 2: 65, 3: 52, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",98,50,48,0.02040816326530612,4,21,12,13,0,10,9,19,-0.0033265988452929607,"1.916338,2.547352,3.251725,4.102539"
step18b_bge_m3_ridge_a3p0_w0p02650_l8p0,ridge_a3p0,0.0265,8.0,0.6587235528061504,-0.0014527829391646208,-0.0025370055730825625,0.17575335166816464,6,9,15,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 65, 3: 41, 4: 31, 5: 23}",94,48,46,0.02127659574468085,4,21,11,11,0,9,7,16,-0.0033744326232724164,"1.912830,2.543620,3.248416,4.095597"
step18b_bge_m3_ridge_a3p0_w0p02775_l2p0,ridge_a3p0,0.02775,2.0,0.6584623958953273,-0.001713939849987689,-0.0027981624839056307,0.17575335166816466,6,11,17,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",97,49,48,0.010309278350515464,4,21,11,13,0,9,9,18,-0.0036355895340954847,"1.915972,2.543834,3.251036,4.096886"
step18b_bge_m3_ridge_a3p0_w0p02900_l2p0,ridge_a3p0,0.029,2.0,0.6584479633450171,-0.001728372400297884,-0.0028125950342158257,0.17239764697017815,6,12,18,0,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 30, 5: 23}",99,50,49,0.010101010101010102,4,22,11,14,0,9,10,19,-0.0036500220844056797,"1.916472,2.543164,3.253605,4.101160"
step18b_bge_m3_ridge_a3p0_w0p02800_l2p0,ridge_a3p0,0.028,2.0,0.6584473050795276,-0.0017290306657873344,-0.002813253299705276,0.1690419422721915,4,9,13,0,"{1: 124, 2: 62, 3: 55, 4: 35, 5: 22}","{1: 138, 2: 65, 3: 41, 4: 31, 5: 23}",92,47,45,0.021739130434782608,4,20,9,11,0,7,7,14,-0.00365068034989513,"1.912858,2.539668,3.247129,4.096568"
step18b_bge_m3_ridge_a3p0_w0p02700_l4p0,ridge_a3p0,0.027,4.0,0.6583340296940503,-0.001842306051264675,-0.0029265286851826167,0.17575335166816466,6,11,17,0,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",95,48,47,0.010526315789473684,4,21,11,13,0,9,9,18,-0.0037639557353724706,"1.913853,2.543011,3.252470,4.094914"
step18b_bge_m3_ridge_a3p0_w0p02725_l2p0,ridge_a3p0,0.02725,2.0,0.6581956833158167,-0.0019806524294982975,-0.003064875063416239,0.1723976469701781,5,11,16,0,"{1: 124, 2: 63, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",100,50,50,0.0,4,22,10,13,0,8,9,17,-0.003902302113606093,"1.916112,2.540370,3.252872,4.106125"
