id,title,venue,year,authors,doi,Label
88,"Joint Proceedings of the Workshops and Doctoral Consortium of the 41st International Conference on Logic Programming (ICLP-WS-DC 2025) co-located with 41st International Conference on Logic Programming (ICLP 2025), Rende, Italy, September 9-13, 2025.",iclp,2025,Rémy Haemmerlé,https://www.semanticscholar.org/paper/0abc223877f00d8dded1163cb92e085708fa8fd3,1
89,"Proceedings 40th International Conference on Logic Programming, ICLP 2024, University of Texas at Dallas, Dallas Texas, USA, October 14-17 2024.",iclp,2025,", Naif Alatrush, Sultan Alsarra, , Afraa Alshammari, , Luay Abdeljaber, , Niamat Zawad, , Latifur Khan, , Patrick T. Brandt, , Javier Osorio, , Vito J. D’Orazio, ",https://www.semanticscholar.org/paper/2e89b0445ac6bfe7055215687699d211013d64ea,1
90,Solving Argumentation Problems Using Answer Set Programming with Quantifiers: Preliminary Report.,iclp,2024,"GERHARD BREWKA, MARTIN DILLER, GEORG HEISSENBERGER, THOMAS LINSBICHLER, STEFAN WOLTRAN",https://www.semanticscholar.org/paper/6d9a369695d4a49b360ff0b2cfe9d552e94c7b7c,2
91,Computational Thinking with Logic Programming.,iclp,2024,,https://www.semanticscholar.org/paper/7e0fead18cbcd3a48aab391ef133a161aa0a267b,4
92,Neuro-Symbolic Agent with ASP for Robust Exception Learning in Text-Based Games.,iclp,2024,"Vinod Mishra, Julian Briseno, Mani Srivastava",https://www.semanticscholar.org/paper/8260a9574d72b0a52d1618cc010171191e530bbb,4
93,Efficient Compliance Computation in Probabilistic Declarative Specifications.,iclp,2024,"Jeongwoon Choi, Jungyeon Kim, Seokho Chi",https://www.semanticscholar.org/paper/e06d3366f1ddaadbfc62d5dcdc929bc8fc642b84,3
94,A First Journey into the Complexity of Statistical Statements in Probabilistic Answer Set Programming.,iclp,2024,"Damiano Azzolini, Markus Hecher",https://www.semanticscholar.org/paper/c0db29b58ec4461d0268fe4f2cfd0f98b2f7c442,4
95,Statistical Syllogistic Tableaux.,iclp,2024,"Domenico Cantone, Eugenio Omodeo, Alberto Policriti",10.1007/978-1-4757-3452-2_14,2
96,Bringing Logic Programming to primary school: a teacher training course.,iclp,2024,Tom Donohoe,https://www.semanticscholar.org/paper/1e974d7ffb4fc4ca963cf3ca82b8d3ff8b72c4d9,4
97,Causally Constrained Counterfactual Generation using ASP.,iclp,2024,Sopam Dasgupta,https://www.semanticscholar.org/paper/f3decd36f65c0d50c2991e1ff36998ec8c1343d9,4
98,On Teaching Constraint-based Modeling and Algorithms for Decision Support in Prolog.,iclp,2024,"Huaiqing Wang, Stephen Liao, Lejian Liao",https://www.semanticscholar.org/paper/3d976acb2104226bcd8a518c7c0fe0322aea6514,4
99,Extended abstract: 푓퐶퐴푆푃 - A forgetting technique for XAI based on goal-directed constraint ASP models.,iclp,2024,"Joaquín Arias, Manuel Carro, Zhuo Chen, Gopal Gupta",https://ceur-ws.org/Vol-3799/abstract2GDE24.pdf,5
100,General Game Playing - Killer App for Logic Programming.,iclp,2024,Michael Thielscher,https://www.semanticscholar.org/paper/152b55cf4396bae37ebaad4f8a19c74c9e2423d1,3
101,Automated Playing of Survival Video Games with Commonsense Reasoning.,iclp,2024,"Bryant Hargreaves, Dan N. Nguyen, Keegan Krimbell, Gopal Gupta",10.1007/978-3-031-84924-4_7,4
102,Teaching Pure LP with Prolog and a Fair Search Rule.,iclp,2024,"Helder Coelho, José Carlos Cotta",https://www.semanticscholar.org/paper/9674b57656693a94eff9778dc11891413d800f0f,3
103,A Framework for Defining Behavior Modes in Policy-Aware Autonomous Agents.,iclp,2024,"Marc S. Atkin, Gary W. King, David L. Westbrook, Brent Heeringa, Paul R. Cohen",https://www.semanticscholar.org/paper/b61ad27cdc4725f487da3dd1330e1ee4535ea60f,1
104,Generative Logic: Teaching Prolog as Generative AI in Art and Design.,iclp,2024,Shalin Hai-Jew,https://www.semanticscholar.org/paper/1758181a84e48d22d67ae45d4a10061a84126699,2
105,Adapting Approximation Fixpoint Theory to Nondeterministic Hybrid Reasoning.,iclp,2024,"Spencer Killen, Jia-Huai You, Jesse Heyninck",https://www.semanticscholar.org/paper/432fe49247a26dc11064b252d16b3ead40361787,1
106,A Neurosymbolic Framework for Bias Correction in Convolutional Neural Networks.,iclp,2024,"PARTH PADALKAR, NATALIA ŚLUSARZ, EKATERINA KOMENDANTSKAYA, GOPAL GUPTA",10.1017/s1471068424000322,3
107,Controlled Natural Language Models.,iclp,2024,Francis Frydman,https://www.semanticscholar.org/paper/87145d100bdb1aa8ed2e0c093c04d02007aa5685,4
108,From Logic Programming to Programming in Logica: A First-Course in Declarative Data Science &amp; Engineering.,iclp,2024,Jan A. Plaza,https://www.semanticscholar.org/paper/9332ecb1cd45e9eea5519f3290c3bbc7c3a0be6d,1
109,On Teaching Logic Programming in the Era of Generative AI.,iclp,2024,"James McGrath, Ankur Gupta",https://www.semanticscholar.org/paper/91e98599b7433e097f14b50734485ae3e414ef18,1
110,Autonomous Task Completion Based on Goal-directed Answer Set Programming.,iclp,2024,Alexis R. Tudor,10.4204/eptcs.416.39,3
111,"Integrating SMT solvers into Goal-Directed Answer Set Programming, Challenges and Directions.",iclp,2024,"KYLE MARPLE, GOPAL GUPTA",https://www.semanticscholar.org/paper/35a358b26a9cc277ba832fee8e2e873c008f781c,5
112,Extended Abstract: Early Validation of High-level System Requirements with Event Calculus and Answer Set Programming.,iclp,2024,"ONDŘEJ VAŠÍČEK, JOAQUIN ARIAS, JAN FIEDOR, GOPAL GUPTA, BRENDAL HALL, BOHUSLAV KŘENA, BRIAN LARSON, SARAT CHANDRA VARANASI, TOMÁŠ VOJNAR",https://www.semanticscholar.org/paper/b8abb262bdab3a286d70ffe34e1cc60b06a462a8,4
113,Democratising Access to Logic Programming: A Web Application Design Tool for Querying Prolog Code.,iclp,2024,,https://www.semanticscholar.org/paper/53611befded20037e16e9b0b74f96c378de5478f,2
114,Teaching Prolog through Grammars.,iclp,2024,"Helder Coelho, José Carlos Cotta",https://www.semanticscholar.org/paper/9676770f22634db7c83cc82b9eac1baf44095bd2,4
115,Extended Abstract: A Reliable Common-Sense Reasoning Socialbot Built Using LLMs and Goal-Directed ASP.,iclp,2024,"YANKAI ZENG, ABHIRAMON RAJASEKHARAN, KINJAL BASU, HUADUO WANG, JOAQUÍN ARIAS, GOPAL GUPTA",10.1017/s147106842400022x,3
116,Regular Typed Unification.,iclp,2024,"João Barbosa, Mário Florido, Vítor Santos Costa",10.4204/eptcs.416.21,1
117,LLM+Reasoning+Planning for supporting incomplete user queries in presence of APIs.,iclp,2024,"Sudhir Agarwal, Anu Sreepathy, David H. Alonso, Prarit Lamba",https://www.semanticscholar.org/paper/70f77bc45e16d72df82aeeff27ad6468b099f566,2
118,Geospatial Trajectory Generation via Efficient Abduction: Deployment for Independent Testing.,iclp,2024,"Divyagna Bavikadi, Dyuman Aditya, Devendra Parkar, Paulo Shakarian, Graham Mueller, Chad Parvis, Gerardo I. Simari",10.4204/eptcs.416.24,1
119,Logical Lease Litigation: Prolog and LLMs for Rental Law Compliance in New York.,iclp,2024,"Sanskar Sehgal, Yanhong A. Liu",10.4204/eptcs.416.4,3
120,Counterfactual Explanations as Plans.,iclp,2024,Vaishak Belle,10.4204/eptcs.416.14,1
121,Efficient OWL2QL Meta-reasoning Using ASP-based Hybrid Knowledge Bases.,iclp,2024,"Haya Majid Qureshi, Wolfgang Faber",10.4204/eptcs.416.17,3
122,Autonomous Task Completion Based on Goal-directed Answer Set Programming.,iclp,2024,Alexis R. Tudor,10.4204/eptcs.416.39,5
123,On LLM-generated Logic Programs and their Inference Execution Methods.,iclp,2024,Paul Tarau,10.4204/eptcs.416.1,5
124,Visual Graph Question Answering with ASP and LLMs for Language Parsing.,iclp,2024,"Jakob Johannes Bauer, Thomas Eiter, Nelson Higuera Ruiz, Johannes Oetsch",10.4204/eptcs.416.2,5
125,LP-LM: No Hallucinations in Question Answering with Logic Programming.,iclp,2024,"Katherine Wu, Yanhong A. Liu",10.4204/eptcs.416.5,3
126,Neuro-Symbolic Contrastive Learning for Cross-domain Inference.,iclp,2024,"Mingyue Liu, Ryo Ueda, Zhen Wan, Katsumi Inoue, Chris G. Willcocks",10.4204/eptcs.416.6,4
127,Architecture for Simulating Behavior Mode Changes in Norm-Aware Autonomous Agents.,iclp,2024,"Sean Glaze, Daniela Inclezan",10.4204/eptcs.416.7,2
128,"Mind the Gaps: Logical English, Prolog, and Multi-agent Systems for Autonomous Vehicles.",iclp,2024,"Galileo Sartor, Adam Wyner, Giuseppe Contissa",10.4204/eptcs.416.9,3
129,Modular Stochastic Rewritable Petri Nets.,iclp,2024,,https://www.semanticscholar.org/paper/e8bf64956267e56d6b6ad140e9506829ad32fd02,5
130,Data2Concept2Text: An Explainable Multilingual Framework for Data Analysis Narration.,iclp,2024,"Flavio Bertini, Alessandro Dal Palù, Federica Zaglio, Francesco Fabiano, Andrea Formisano",10.4204/eptcs.416.13,4
131,Abduction of Domain Relationships from Data for VQA.,iclp,2024,"Al Mehdi Saadat Chowdhury, Paulo Shakarian, Gerardo I. Simari",10.4204/eptcs.416.15,3
132,"Graphical Conditions for the Existence, Unicity and Number of Regular Models.",iclp,2024,"Van-Giang Trinh, Belaid Benhamou, Sylvain Soliman, François Fages",10.4204/eptcs.416.16,1
133,Pearce&apos;s Characterisation in an Epistemic Domain.,iclp,2024,Ezgi Iraz Su,https://ceur-ws.org/Vol-3799/abstract2GDE24.pdf,2
134,ASP-driven User-interaction with Clinguin.,iclp,2024,"Alexander Beiser, Susana Hahn, Torsten Schaub",10.4204/eptcs.416.19,5
135,A Prolog Program for Bottom-up Evaluation.,iclp,2024,David S. Warren,10.4204/eptcs.416.20,5
136,Order-Sorted Intensional Logic: Expressing Subtyping Polymorphism with Typing Assertions and Quantification over Concepts.,iclp,2024,"Đorđe Marković, Marc Denecker",10.4204/eptcs.416.22,1
137,A Coq Formalization of Unification Modulo Exclusive-Or.,iclp,2024,"Yichi Xu, Daniel J. Dougherty, Rose Bohrer",10.4204/eptcs.416.23,1
138,Generating Causally Compliant Counterfactual Explanations using ASP.,iclp,2024,Sopam Dasgupta,10.4204/eptcs.416.30,3
139,Bridging Logic Programming and Deep Learning for Explainability through ILASP.,iclp,2024,Talissa Dreossi,https://www.semanticscholar.org/paper/f3c55f10ec07f62bff77e5596f0a4cfc1628216d,5
140,Computational methods for Dynamic Answer Set Programming.,iclp,2024,Susana Hahn,10.4204/eptcs.416.32,5
141,Relating Answer Set Programming and Many-sorted Logics for Formal Verification.,iclp,2024,Zachary Hansen,10.4204/eptcs.416.33,5
142,Answer Set Counting and its Applications.,iclp,2024,Mohimenul Kabir,10.4204/eptcs.416.34,5
143,Logical foundations of Smart Contracts.,iclp,2024,Kalonji Kalala,10.4204/eptcs.416.35,3
144,Commonsense Reasoning-Aided Autonomous Vehicle Systems.,iclp,2024,Keegan Kimbrell,10.4204/eptcs.416.36,1
